tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
Chennai Open - Chennai ,2005-01-01 ,Andrei Stoliarov ,Jean-Francois Bachelot ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Chennai Open - Chennai ,2005-01-01 ,Jamie Delgado ,Jeevan Nedunchezhiyan ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
Chennai Open - Chennai ,2005-01-01 ,Zeljko Krajan ,Robert Lindstedt ,2 ,1 ,4 ,7 ,6 , , ,6 ,5 ,1 , ,
Chennai Open - Chennai ,2005-01-01 ,Kristian Pless ,Sunil-Kumar Sipaeya ,2 ,1 ,6 ,6 ,6 , , ,7 ,2 ,4 , ,
Chennai Open - Chennai ,2005-01-01 ,Nenad Zimonjic ,Stephen Amritraj ,2 ,1 ,3 ,6 ,7 , , ,6 ,2 ,6 , ,
Chennai Open - Chennai ,2005-01-01 ,Andy Ram ,Mustafa Ghouse ,2 ,0 ,6 ,6 , , , ,1 ,3 , , ,
Chennai Open - Chennai ,2005-01-01 ,Julian Knowle ,Tripp Phillips ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
Chennai Open - Chennai ,2005-01-01 ,Jonathan Marray ,Rahil Syed ,2 ,0 ,6 ,6 , , , ,2 ,1 , , ,
Chennai Open - Chennai ,2005-01-01 ,Teimuraz Gabashvili ,Vijay Kannan ,2 ,0 ,6 ,7 , , , ,1 ,6 , , ,
Chennai Open - Chennai ,2005-01-01 ,Ajay Ramaswami ,Divij Sharan ,2 ,0 ,6 ,6 , , , ,0 ,4 , , ,
Chennai Open - Chennai ,2005-01-01 ,Harsh Mankad ,Stephane Robert ,2 ,0 ,7 ,6 , , , ,5 ,1 , , ,
Chennai Open - Chennai ,2005-01-01 ,Norikazu Sugiyama ,Vishal Uppal ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
Chennai Open - Chennai ,2005-01-01 ,Vinod Sridhar ,Jaco Mathew ,2 ,0 ,6 ,6 , , , ,2 ,0 , , ,
Chennai Open - Chennai ,2005-01-01 ,Nicolas Devilder ,Yaoki Ishii ,2 ,0 ,6 ,6 , , , ,3 ,0 , , ,
Chennai Open - Chennai ,2005-01-01 ,Marcos Baghdatis ,Ashley Fisher ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Chennai Open - Chennai ,2005-01-01 ,Ashutosh Singh ,Melle van Gemerden ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
Hopman Cup - Perth ,2005-01-01 ,Peter Wessels ,Wayne Black ,2 ,0 ,7 ,7 , , , ,6 ,5 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-01 ,Arnaud Clement ,Jordan Kerr ,2 ,0 ,6 ,6 , , , ,4 ,1 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-01 ,Jean-Rene Lisnard ,Lachlan Ferguson ,1 ,0 ,6 ,1 , , , ,2 ,0 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-01 ,Irakli Labadze ,Chris Guccione ,2 ,0 ,6 ,6 , , , ,1 ,4 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-01 ,Jan Vacek ,Peter Luczak ,2 ,0 ,6 ,7 , , , ,4 ,5 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-01 ,Alex Jr. Bogomolov ,David To ,2 ,0 ,6 ,6 , , , ,2 ,1 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-01 ,Sebastien de Chaunac ,Alan Mackin ,2 ,0 ,7 ,6 , , , ,6 ,2 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-01 ,Brian Baker ,Novak Djokovic ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-01 ,Raphael Durek ,Rameez Junaid ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-01 ,Luke Bourgeois ,Callum Beale ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-01 ,Sadik Kadir ,Joel Kerley ,2 ,1 ,5 ,6 ,6 , , ,7 ,1 ,2 , ,
Next Generation Hardcourts - Adelaide ,2005-01-01 ,Amer Delic ,Shannon Nettle ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-01 ,Michael Ryderstedt ,Vasilis Mazarakis ,2 ,1 ,6 ,3 ,6 , , ,3 ,6 ,2 , ,
Next Generation Hardcourts - Adelaide ,2005-01-01 ,Adam Feeney ,Glenn Weiner ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-01 ,Nicolas Almagro ,Nathan Healey ,2 ,1 ,4 ,6 ,7 , , ,6 ,1 ,6 , ,
Next Generation Hardcourts - Adelaide ,2005-01-01 ,Andrew Derer ,Gaston Etlis ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-01 ,Todd Ley ,Craig Bankes ,2 ,0 ,6 ,6 , , , ,0 ,1 , , ,
Chennai Open - Chennai ,2005-01-02 ,Jamie Delgado ,Nenad Zimonjic ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
Chennai Open - Chennai ,2005-01-02 ,Kristian Pless ,Zeljko Krajan ,2 ,0 ,7 ,6 , , , ,6 ,0 , , ,
Chennai Open - Chennai ,2005-01-02 ,Julian Knowle ,Andrei Stoliarov ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
Chennai Open - Chennai ,2005-01-02 ,Jonathan Marray ,Ajay Ramaswami ,2 ,0 ,6 ,7 , , , ,2 ,6 , , ,
Chennai Open - Chennai ,2005-01-02 ,Harsh Mankad ,Andy Ram ,2 ,1 ,1 ,7 ,6 , , ,6 ,5 ,2 , ,
Chennai Open - Chennai ,2005-01-02 ,Vinod Sridhar ,Teimuraz Gabashvili ,2 ,1 ,3 ,6 ,7 , , ,6 ,2 ,5 , ,
Chennai Open - Chennai ,2005-01-02 ,Nicolas Devilder ,Norikazu Sugiyama ,2 ,1 ,6 ,6 ,6 , , ,2 ,7 ,3 , ,
Chennai Open - Chennai ,2005-01-02 ,Marcos Baghdatis ,Ashutosh Singh ,2 ,0 ,6 ,6 , , , ,4 ,1 , , ,
Hopman Cup - Perth ,2005-01-02 ,Guillermo Coria ,Davide Sanguinetti ,2 ,0 ,6 ,7 , , , ,1 ,6 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-02 ,Arnaud Clement ,Raphael Durek ,2 ,0 ,6 ,6 , , , ,4 ,1 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-02 ,Jean-Rene Lisnard ,Michael Ryderstedt ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-02 ,Irakli Labadze ,Todd Ley ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-02 ,Alex Jr. Bogomolov ,Luke Bourgeois ,2 ,0 ,6 ,7 , , , ,3 ,6 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-02 ,Sebastien de Chaunac ,Nicolas Almagro ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-02 ,Brian Baker ,Jan Vacek ,2 ,1 ,6 ,6 ,6 , , ,7 ,1 ,2 , ,
Next Generation Hardcourts - Adelaide ,2005-01-02 ,Sadik Kadir ,Adam Feeney ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-02 ,Amer Delic ,Andrew Derer ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
Aberto de Sao Paulo - Sao Paulo ,2005-01-03 ,Franco Squillari ,Franco Ferreiro ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
Aberto de Sao Paulo - Sao Paulo ,2005-01-03 ,Tomas Behrend ,Andre Ghem ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
Aberto de Sao Paulo - Sao Paulo ,2005-01-03 ,Ricardo Mello ,Julio Silva ,1 ,0 ,4 ,7 ,7 ,1 , ,6 ,6 , ,0 ,
Aberto de Sao Paulo - Sao Paulo ,2005-01-03 ,Thiago Alves ,Alexandre Simoni ,2 ,0 ,7 ,7 , , , ,6 ,5 , , ,
Aberto de Sao Paulo - Sao Paulo ,2005-01-03 ,Sebastian Fitz ,Marcelo Melo ,2 ,0 ,6 ,7 , , , ,2 ,6 , , ,
ATP Challenger Numea - New Caledonia ,2005-01-03 ,Harel Levy ,Oliver Marach ,2 ,1 ,6 ,6 ,6 , , ,7 ,2 ,4 , ,
ATP Challenger Numea - New Caledonia ,2005-01-03 ,Arnaud Di Pasquale ,Leonardo Azzaro ,2 ,0 ,6 ,6 , , , ,0 ,4 , , ,
ATP Challenger Numea - New Caledonia ,2005-01-03 ,Gouichi Motomura ,Philippe Frayssinoux ,2 ,0 ,6 ,6 , , , ,3 ,0 , , ,
ATP Challenger Numea - New Caledonia ,2005-01-03 ,Takao Suzuki ,Marc Gicquel ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
ATP Challenger Numea - New Caledonia ,2005-01-03 ,Bjorn Phau ,Jerome Golmard ,2 ,1 ,3 ,6 ,6 , , ,6 ,3 ,4 , ,
ATP Challenger Numea - New Caledonia ,2005-01-03 ,Yuriy Schukin ,Jeff Salzenstein ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
ATP Challenger Numea - New Caledonia ,2005-01-03 ,Florent Serra ,Stefano Galvani ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
ATP Challenger Numea - New Caledonia ,2005-01-03 ,Tomas Tenconi ,Marcus Sarstrand ,2 ,1 ,1 ,7 ,6 , , ,6 ,5 ,4 , ,
Chennai Open - Chennai ,2005-01-03 ,Michal Tabara ,Jiri Vanek ,2 ,1 ,6 ,4 ,7 , , ,2 ,6 ,6 , ,
Chennai Open - Chennai ,2005-01-03 ,Justin Gimelstob ,Jan-Michael Gambill ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Chennai Open - Chennai ,2005-01-03 ,Ivo Heuberger ,Prakash Amritraj ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
Chennai Open - Chennai ,2005-01-03 ,Paul-Henri Mathieu ,Janko Tipsarevic ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Chennai Open - Chennai ,2005-01-03 ,Adrian Garcia ,Gregory Carraz ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
Chennai Open - Chennai ,2005-01-03 ,Julian Knowle ,Kristian Pless ,2 ,1 ,6 ,6 ,6 , , ,4 ,7 ,3 , ,
Chennai Open - Chennai ,2005-01-03 ,Olivier Patience ,Rainer Schuettler ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
Chennai Open - Chennai ,2005-01-03 ,Kristof Vliegen ,Santiago Ventura ,2 ,1 ,7 ,5 ,6 , , ,6 ,7 ,4 , ,
Chennai Open - Chennai ,2005-01-03 ,Yen-Hsun Lu ,Leander Paes ,2 ,0 ,6 ,7 , , , ,2 ,6 , , ,
Chennai Open - Chennai ,2005-01-03 ,Guillermo Garcia-Lopez ,Dennis Van Scheppingen ,2 ,1 ,3 ,6 ,6 , , ,6 ,3 ,2 , ,
Chennai Open - Chennai ,2005-01-03 ,Harsh Mankad ,Jamie Delgado ,2 ,1 ,3 ,6 ,6 , , ,6 ,3 ,2 , ,
Chennai Open - Chennai ,2005-01-03 ,Nicolas Devilder ,Jonathan Marray ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
Chennai Open - Chennai ,2005-01-03 ,Marcos Baghdatis ,Vinod Sridhar ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Hopman Cup - Perth ,2005-01-03 ,Dominik Hrbaty ,Mark Philippoussis ,2 ,0 ,7 ,6 , , , ,5 ,2 , , ,
Hopman Cup - Perth ,2005-01-03 ,Tommy Haas ,Marat Safin ,2 ,1 ,6 ,3 ,6 , , ,3 ,6 ,1 , ,
Next Generation Hardcourts - Adelaide ,2005-01-03 ,Arnaud Clement ,Brian Baker ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-03 ,Thomas Enqvist ,Raemon Sluiter ,2 ,0 ,6 ,6 , , , ,3 ,1 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-03 ,Nicolas Kiefer ,Sjeng Schalken ,2 ,1 ,6 ,4 ,6 , , ,2 ,6 ,3 , ,
Next Generation Hardcourts - Adelaide ,2005-01-03 ,Olivier Rochus ,Antony Dupuis ,2 ,1 ,3 ,6 ,6 , , ,6 ,3 ,1 , ,
Next Generation Hardcourts - Adelaide ,2005-01-03 ,Jean-Rene Lisnard ,Irakli Labadze ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-03 ,Jurgen Melzer ,Tomas Berdych ,2 ,1 ,6 ,4 ,6 , , ,4 ,6 ,3 , ,
Next Generation Hardcourts - Adelaide ,2005-01-03 ,Cyril Saulnier ,Paul Baccanello ,2 ,0 ,6 ,7 , , , ,2 ,6 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-03 ,Sebastien de Chaunac ,Sadik Kadir ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-03 ,Florian Mayer ,Wayne Arthurs ,2 ,1 ,6 ,3 ,7 , , ,4 ,6 ,5 , ,
Next Generation Hardcourts - Adelaide ,2005-01-03 ,Amer Delic ,Alex Jr. Bogomolov ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
Qatar Open - Doha ,2005-01-03 ,Roger Federer ,David Ferrer ,2 ,0 ,6 ,6 , , , ,1 ,1 , , ,
Qatar Open - Doha ,2005-01-03 ,Greg Rusedski ,Jan Hernych ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
Qatar Open - Doha ,2005-01-03 ,Ivan Ljubicic ,Stan Wawrinka ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Qatar Open - Doha ,2005-01-03 ,Hyung-Taik Lee ,Sergiy Stakhovsky ,2 ,0 ,6 ,6 , , , ,0 ,2 , , ,
Qatar Open - Doha ,2005-01-03 ,Feliciano Lopez ,Filippo Volandri ,2 ,0 ,7 ,6 , , , ,5 ,3 , , ,
Qatar Open - Doha ,2005-01-03 ,Marc Lopez ,Bohdan Ulihrach ,2 ,0 ,7 ,7 , , , ,5 ,6 , , ,
Qatar Open - Doha ,2005-01-03 ,Uros Vico ,Nicolas Mahut ,2 ,1 ,4 ,6 ,6 , , ,6 ,3 ,4 , ,
Chennai Open - Chennai ,2005-01-03 ,Mahesh Bhupathi/Jonas Bjorkman ,Christophe Rochus/Tom Vanhoudt ,2 ,0 ,7 ,6 , , , ,6 ,3 , , ,
Chennai Open - Chennai ,2005-01-03 ,Ashley Fisher/Tripp Phillips ,Mustafa Ghouse/Vishal Uppal ,2 ,0 ,6 ,6 , , , ,1 ,2 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-03 ,Gaston Etlis/Martin Rodriguez ,Joachim Johansson/Todd Woodbridge ,2 ,1 ,1 ,7 ,6 , , ,6 ,6 ,4 , ,
Next Generation Hardcourts - Adelaide ,2005-01-03 ,Jordan Kerr/Jim Thomas ,Lleyton Hewitt/Roger Rasheed ,2 ,1 ,7 ,6 ,6 , , ,6 ,7 ,2 , ,
Next Generation Hardcourts - Adelaide ,2005-01-03 ,Simon Aspelin/Todd Perry ,Chris Haggard/Robbie Koenig ,2 ,0 ,7 ,7 , , , ,6 ,6 , , ,
Qatar Open - Doha ,2005-01-03 ,Gaston Gaudio/Feliciano Lopez ,Martin Damm/Jared Palmer ,2 ,0 ,7 ,7 , , , ,6 ,5 , , ,
Qatar Open - Doha ,2005-01-03 ,Andrei Pavel/Mikhail Youzhny ,Yves Allegro/Michael Kohlmann ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
Qatar Open - Doha ,2005-01-03 ,Albert Costa/Rafael Nadal ,Sebastien Grosjean/Gael Monfils ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
Qatar Open - Doha ,2005-01-03 ,Alexander Waske/Rogier Wassen ,Thomas Johansson/Ivan Ljubicic ,2 ,0 ,6 ,6 , , , ,3 ,1 , , ,
Qatar Open - Doha ,2005-01-03 ,Nicolas Mahut/Fabrice Santoro ,Mohammad Ghareeb/Amir Ebrahim ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
Aberto de Sao Paulo - Sao Paulo ,2005-01-04 ,Razvan Sabau ,Rogerio Dutra Da Silva ,2 ,0 ,6 ,6 , , , ,1 ,2 , , ,
Aberto de Sao Paulo - Sao Paulo ,2005-01-04 ,Marcos Daniel ,Andre Sa ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Aberto de Sao Paulo - Sao Paulo ,2005-01-04 ,Juan-Pablo Guzman ,Federico Browne ,2 ,0 ,7 ,6 , , , ,6 ,2 , , ,
Aberto de Sao Paulo - Sao Paulo ,2005-01-04 ,Cristian Villagran ,Ramon Delgado ,2 ,1 ,2 ,6 ,6 , , ,6 ,4 ,2 , ,
ATP Challenger Numea - New Caledonia ,2005-01-04 ,Arvind Parmar ,Jan-Frode Andersen ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
ATP Challenger Numea - New Caledonia ,2005-01-04 ,Thierry Ascione ,Danai Udomchoke ,2 ,0 ,6 ,6 , , , ,1 ,2 , , ,
ATP Challenger Numea - New Caledonia ,2005-01-04 ,Julien Varlet ,Wesley Moodie ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
ATP Challenger Numea - New Caledonia ,2005-01-04 ,Alex Bogdanovic ,Lukas Dlouhy ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
ATP Challenger Numea - New Caledonia ,2005-01-04 ,Filip Prpic ,Julien Jeanpierre ,2 ,0 ,6 ,7 , , , ,2 ,5 , , ,
ATP Challenger Numea - New Caledonia ,2005-01-04 ,Jean-Christophe Faurel ,Edouard Roger-Vasselin ,2 ,0 ,6 ,6 , , , ,1 ,4 , , ,
ATP Challenger Numea - New Caledonia ,2005-01-04 ,Pavel Snobel ,Jean-Baptiste Perlant ,2 ,1 ,6 ,6 ,6 , , ,2 ,7 ,3 , ,
ATP Challenger Numea - New Caledonia ,2005-01-04 ,Gilles Simon ,Dieter Kindlmann ,2 ,0 ,6 ,6 , , , ,4 ,0 , , ,
Chennai Open - Chennai ,2005-01-04 ,Carlos Moya ,Julian Knowle ,2 ,0 ,6 ,7 , , , ,4 ,6 , , ,
Chennai Open - Chennai ,2005-01-04 ,Jonas Bjorkman ,Karan Rastogi ,2 ,0 ,6 ,6 , , , ,4 ,0 , , ,
Chennai Open - Chennai ,2005-01-04 ,Kenneth Carlsen ,Noam Okun ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
Chennai Open - Chennai ,2005-01-04 ,Paradorn Srichaphan ,Christophe Rochus ,2 ,1 ,4 ,7 ,6 , , ,6 ,6 ,1 , ,
Chennai Open - Chennai ,2005-01-04 ,Tomas Zib ,Lars Burgsmuller ,2 ,0 ,6 ,6 , , , ,1 ,4 , , ,
Chennai Open - Chennai ,2005-01-04 ,Kevin Kim ,Harsh Mankad ,2 ,1 ,6 ,4 ,6 , , ,4 ,6 ,4 , ,
Chennai Open - Chennai ,2005-01-04 ,Nicolas Devilder ,Marcos Baghdatis ,2 ,1 ,6 ,6 ,7 , , ,4 ,7 ,6 , ,
Hopman Cup - Perth ,2005-01-04 ,Tommy Haas ,Davide Sanguinetti ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
Hopman Cup - Perth ,2005-01-04 ,James Blake ,Peter Wessels ,2 ,0 ,6 ,7 , , , ,1 ,6 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-04 ,Lleyton Hewitt ,Arnaud Clement ,2 ,1 ,2 ,6 ,6 , , ,6 ,1 ,1 , ,
Next Generation Hardcourts - Adelaide ,2005-01-04 ,Agustin Calleri ,Jarkko Nieminen ,2 ,1 ,6 ,3 ,7 , , ,4 ,6 ,6 , ,
Next Generation Hardcourts - Adelaide ,2005-01-04 ,Xavier Malisse ,Alberto Martin ,2 ,0 ,6 ,7 , , , ,2 ,6 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-04 ,Radek Stepanek ,Philipp Kohlschreiber ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-04 ,Taylor Dent ,Robby Ginepri ,2 ,1 ,6 ,2 ,6 , , ,1 ,6 ,2 , ,
Next Generation Hardcourts - Adelaide ,2005-01-04 ,Juan Ignacio Chela ,Sargis Sargsian ,2 ,0 ,6 ,6 , , , ,1 ,1 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-04 ,Jean-Rene Lisnard ,Sebastien de Chaunac ,2 ,0 ,6 ,7 , , , ,4 ,6 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-04 ,Joachim Johansson ,Marc Kimmich ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-04 ,Julien Benneteau ,Potito Starace ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Next Generation Hardcourts - Adelaide ,2005-01-04 ,Amer Delic ,Todd Reid ,2 ,1 ,3 ,7 ,6 , , ,6 ,5 ,2 , ,
Qatar Open - Doha ,2005-01-04 ,Sebastien Grosjean ,Gilles Muller ,2 ,0 ,7 ,6 , , , ,6 ,2 , , ,
Qatar Open - Doha ,2005-01-04 ,Albert Costa ,David Sanchez-Munoz ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Qatar Open - Doha ,2005-01-04 ,Fabrice Santoro ,Thomas Johansson ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
Qatar Open - Doha ,2005-01-04 ,Nikolay Davydenko ,Ivo Karlovic ,2 ,0 ,7 ,6 , , , ,6 ,3 , , ,
Qatar Open - Doha ,2005-01-04 ,Fernando Verdasco ,Mohammed Abdulla ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
Qatar Open - Doha ,2005-01-04 ,Rafael Nadal ,Mikhail Youzhny ,2 ,0 ,6 ,7 , , , ,3 ,6 , , ,
Qatar Open - Doha ,2005-01-04 ,Karol Beck ,Igor Andreev ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
