tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
"Bangkok Challenger" ,2018-01-01 ,"Zdenek Kolar/Goncalo Oliveira" ,"Toshihide Matsui/Chu Huan Yi" ,2 ,0 ,7 ,7 , , , ,5 ,6 , , ,
"Brisbane International - Brisbane" ,2018-01-01 ,"Wesley Koolhof/Artem Sitak" ,"Treat Conrad Huey/Fabrice Martin" ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
"Brisbane International - Brisbane" ,2018-01-01 ,"Matthew Ebden/John Millman" ,"Ilija Bozoljac/Damir Dzumhur" ,2 ,0 ,6 ,6 , , , ,1 ,2 , , ,
"Brisbane International - Brisbane" ,2018-01-01 ,"Steve Johnson/Gilles Muller" ,"Santiago Gonzalez/Julio Peralta" ,2 ,1 ,7 ,4 ,1 , , ,6 ,6 ,9 , ,
"Maharashtra Open - Pune" ,2018-01-01 ,"Robin Haase/Matwe Middelkoop" ,"Arjun Kadhe/Benoit Paire" ,2 ,1 ,1 ,7 ,1 , , ,6 ,5 ,7 , ,
"Maharashtra Open - Pune" ,2018-01-01 ,"Adil Shamasdin/Neal Skupski" ,"N.sriram Balaji/Vishnu Vardhan" ,2 ,1 ,3 ,7 ,1 , , ,6 ,6 ,6 , ,
"Noumea Challenger" ,2018-01-01 ,"Salvatore Caruso/Federico Gaio" ,"Loic Perret/Stephane Robert" ,2 ,1 ,7 ,4 ,1 , , ,5 ,6 ,7 , ,
"Noumea Challenger" ,2018-01-01 ,"Cameron Norrie/Jose Statham" ,"Kenny De Schepper/Noah Rubin" ,2 ,1 ,2 ,6 ,1 , , ,6 ,3 ,5 , ,
"Noumea Challenger" ,2018-01-01 ,"Elliot Benchetrit/Geoffrey Blancaneaux" ,"Julien Delaplane/Nicolas N'Godrela" ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
"Noumea Challenger" ,2018-01-01 ,"Alejandro Gonzalez/Jaume Antoni Munar Clar" ,"Mitchell Krueger/Dennis Novikov" ,2 ,1 ,6 ,6 ,1 , , ,2 ,7 ,6 , ,
"Playford Challenger" ,2018-01-01 ,"Omar Jasika/Christopher O'Connell" ,"Norbert Gombos/Uladzimir Ignatik" ,2 ,0 ,7 ,7 , , , ,6 ,6 , , ,
"Playford Challenger" ,2018-01-01 ,"Marc Polmans/Andrew Whittington" ,"Andrew Harris/Dayne Kelly" ,2 ,0 ,6 ,6 , , , ,2 ,0 , , ,
"Playford Challenger" ,2018-01-01 ,"Maverick Banes/Jason Murray Kubler" ,"Darian King/Evan King" ,2 ,1 ,6 ,0 ,1 , , ,2 ,6 ,1 , ,
"Playford Challenger" ,2018-01-01 ,"Max Purcell/Luke Saville" ,"Kamil Majchrzak/Lorenzo Sonego" ,2 ,1 ,6 ,3 ,1 , , ,2 ,6 ,8 , ,
"Playford Challenger" ,2018-01-01 ,"Mackenzie McDonald/Tommy Paul" ,"Yoshihito Nishioka/Yasutaka Uchiyama" ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
"Playford Challenger" ,2018-01-01 ,"Richard Berankis/Sergiy Stakhovsky" ,"Steven De Waard/Brydan Klein" ,2 ,0 ,6 ,7 , , , ,2 ,6 , , ,
"Playford Challenger" ,2018-01-01 ,"Bjorn Fratangelo/Brayden Schnur" ,"Guido Andreozzi/Arthur De Greef" ,2 ,1 ,6 ,3 ,1 , , ,3 ,6 ,9 , ,
"Playford Challenger" ,2018-01-01 ,"Tobias Kamke/Oscar Otte" ,"Alex Bolt/Bradley Mousley" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
"Qatar ExxonMobil Open - Doha" ,2018-01-01 ,"Pablo Carreno Busta/Guillermo Garcia Lopez" ,"Paolo Lorenzi/Albert Ramos Vinolas" ,2 ,0 ,6 ,7 , , , ,2 ,6 , , ,
"Qatar ExxonMobil Open - Doha" ,2018-01-01 ,"Jamie Murray/Bruno Soares" ,"Marcin Matkowski/Aisam Qureshi" ,2 ,1 ,3 ,7 ,1 , , ,6 ,6 ,5 , ,
"Qatar ExxonMobil Open - Doha" ,2018-01-01 ,"Borna Coric/Jan Lennard Struff" ,"Filip Krajinovic/Viktor Troicki" ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
"Qatar ExxonMobil Open - Doha" ,2018-01-01 ,"Feliciano Lopez/Rajeev Ram" ,"Malek Jaziri/Mousa Zayed" ,2 ,0 ,7 ,6 , , , ,5 ,2 , , ,
"Brisbane International - Brisbane" ,2018-01-01 ,"Kiki Bertens/Demi Schuurs" ,"Johanna Konta/Elina Svitolina" ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
"Brisbane International - Brisbane" ,2018-01-01 ,"Priscilla Hon/Ajla Tomljanovic" ,"Alicja Rosolska/Abigail Spears" ,2 ,1 ,6 ,6 ,1 , , ,7 ,3 ,1 , ,
"Brisbane International - Brisbane" ,2018-01-01 ,"Lyudmyla Kichenok/Makoto Ninomiya" ,"Sorana Cirstea/Anastasija Sevastova" ,2 ,0 ,6 ,6 , , , ,1 ,2 , , ,
"Shenzhen Open - Shenzhen" ,2018-01-01 ,"Hanyu Guo/Xin Yu Wang" ,"Kristyna Pliskova/Renata Voracova" ,2 ,1 ,2 ,6 ,1 , , ,6 ,3 ,4 , ,
"Bangkok Challenger" ,2018-01-02 ,"Gerard Granollers/Marcel Granollers" ,"Phassawit Burapharitta/Chaleechan Tanasugarn" ,2 ,0 ,6 ,6 , , , ,3 ,1 , , ,
"Brisbane International - Brisbane" ,2018-01-02 ,"Leonardo Mayer/Horacio Zeballos" ,"Diego Sebastian Schwartzman/Mischa Zverev" ,2 ,0 ,6 ,6 , , , ,2 ,0 , , ,
"Brisbane International - Brisbane" ,2018-01-02 ,"Nick Kyrgios/Matt Reid" ,"Marcus Daniell/Dominic Inglot" ,2 ,1 ,4 ,6 ,1 , , ,6 ,1 ,7 , ,
"Brisbane International - Brisbane" ,2018-01-02 ,"Grigor Dimitrov/Ryan Harrison" ,"Lleyton Hewitt/Jordan Thompson" ,2 ,1 ,6 ,1 ,1 , , ,3 ,6 ,5 , ,
"Maharashtra Open - Pune" ,2018-01-02 ,"Roman Jebavy/Jiri Vesely" ,"Radu Albot/Tennys Sandgren" ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
"Maharashtra Open - Pune" ,2018-01-02 ,"Rohan Bopanna/Jeevan Nedunchezhiyan" ,"Leander Paes/Purav Raja" ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
"Maharashtra Open - Pune" ,2018-01-02 ,"Hans Podlipnik Castillo/Andrei Vasilevski" ,"Ben Mclachlan/Andres Molteni" ,2 ,1 ,6 ,6 ,1 , , ,7 ,4 ,8 , ,
"Maharashtra Open - Pune" ,2018-01-02 ,"Robert Lindstedt/Franko Skugor" ,"Marton Fucsovics/Mikhail Kukushkin" ,2 ,0 ,6 ,6 , , , ,4 ,1 , , ,
"Maharashtra Open - Pune" ,2018-01-02 ,"Pierre Hugues Herbert/Gilles Simon" ,"Kevin Anderson/Jonathan Erlich" ,2 ,1 ,3 ,6 ,1 , , ,6 ,3 ,5 , ,
"Noumea Challenger" ,2018-01-02 ,"Hubert Hurkacz/Michal Przysiezny" ,"Nathaniel Lammons/Alex Lawson" ,2 ,1 ,5 ,7 ,1 , , ,7 ,6 ,4 , ,
"Noumea Challenger" ,2018-01-02 ,"Bradley Klahn/Jack Withrow" ,"Maxime Janvier/Dennis Novak" ,2 ,1 ,2 ,6 ,1 , , ,6 ,4 ,3 , ,
"Noumea Challenger" ,2018-01-02 ,"Hugo Nys/Tim Puetz" ,"Taylor Harry Fritz/Casper Ruud" ,2 ,0 ,7 ,7 , , , ,6 ,5 , , ,
"Noumea Challenger" ,2018-01-02 ,"Vincent Millot/Gleb Sakharov" ,"Mathias Bourgue/Corentin Moutet" ,2 ,1 ,6 ,6 ,1 , , ,1 ,7 ,5 , ,
"Qatar ExxonMobil Open - Doha" ,2018-01-02 ,"Oliver Marach/Mate Pavic" ,"Daniel Nestor/Philipp Oswald" ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
"Qatar ExxonMobil Open - Doha" ,2018-01-02 ,"Nikoloz Basilashvili/Andreas Haider Maurer" ,"Nikola Mektic/Alexander Peya" ,2 ,1 ,1 ,7 ,1 , , ,6 ,6 ,8 , ,
"Qatar ExxonMobil Open - Doha" ,2018-01-02 ,"Ivan Dodig/Fernando Verdasco" ,"Florin Mergea/Nenad Zimonjic" ,2 ,0 ,6 ,6 , , , ,1 ,4 , , ,
"Qatar ExxonMobil Open - Doha" ,2018-01-02 ,"Tuna Altuna/Elias Ymer" ,"Peter Gojowczyk/Florian Mayer" ,2 ,1 ,5 ,6 ,1 , , ,7 ,2 ,8 , ,
"ASB Classic - Auckland" ,2018-01-02 ,"Eri Hozumi/Miyu Kato" ,"Lauren Davis/Christina Mchale" ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
"ASB Classic - Auckland" ,2018-01-02 ,"Arina Rodionova/Maryna Zanevska" ,"Tereza Mrdeza/Conny Perrin" ,2 ,0 ,6 ,6 , , , ,1 ,3 , , ,
"ASB Classic - Auckland" ,2018-01-02 ,"Ysaline Bonaventure/Viktorija Golubic" ,"Kaitlyn Christian/Sofia Kenin" ,2 ,0 ,6 ,6 , , , ,1 ,1 , , ,
"ASB Classic - Auckland" ,2018-01-02 ,"Arantxa Rus/Silvia Soler Espinosa" ,"Paige Mary Hourigan/Erin Routliffe" ,2 ,1 ,6 ,2 ,1 , , ,2 ,6 ,5 , ,
"ASB Classic - Auckland" ,2018-01-02 ,"Sara Errani/Bibiane Schoofs" ,"Asia Muhammad/Barbora Stefkova" ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
"ASB Classic - Auckland" ,2018-01-02 ,"Magdalena Frech/Prarthana Thombare" ,"Mona Barthel/Donna Vekic" ,2 ,1 ,5 ,6 ,1 , , ,7 ,3 ,8 , ,
"Brisbane International - Brisbane" ,2018-01-02 ,"Andreja Klepac/Maria Jose Martinez Sanchez" ,"Shuko Aoyama/Zhaoxuan Yang" ,2 ,0 ,6 ,6 , , , ,1 ,3 , , ,
"Brisbane International - Brisbane" ,2018-01-02 ,"Gabriela Dabrowski/Yifan Xu" ,"Monique Adamczak/Storm Sanders" ,2 ,1 ,6 ,6 ,1 , , ,4 ,7 ,7 , ,
"Brisbane International - Brisbane" ,2018-01-02 ,"Nadiya Kichenok/Anastasia Rodionova" ,"Hao Ching Chan/Katarina Srebotnik" ,2 ,1 ,3 ,7 ,1 , , ,6 ,6 ,6 , ,
"Shenzhen Open - Shenzhen" ,2018-01-02 ,"Irina Camelia Begu/Simona Halep" ,"Irina Maria Bara/Mihaela Buzarnescu" ,2 ,1 ,4 ,6 ,1 , , ,6 ,4 ,1 , ,
"Shenzhen Open - Shenzhen" ,2018-01-02 ,"Barbora Krejcikova/Katerina Siniakova" ,"Danka Kovinic/Evgeniya Rodina" ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
"Shenzhen Open - Shenzhen" ,2018-01-02 ,"Lesley Kerkhove/Lidziya Marozava" ,"Ekaterina Alexandrova/Stefanie Voegele" ,2 ,1 ,2 ,7 ,1 , , ,6 ,5 ,4 , ,
"Shenzhen Open - Shenzhen" ,2018-01-02 ,"Nicole Gibbs/Carol Zhao" ,"Raluca Olaru/Olga Savchuk" ,2 ,0 ,6 ,6 , , , ,1 ,3 , , ,
"Shenzhen Open - Shenzhen" ,2018-01-02 ,"Jing Jing Lu/Qiang Wang" ,"Oksana Kalashnikova/Yafan Wang" ,2 ,1 ,6 ,4 ,1 , , ,4 ,6 ,6 , ,
"Shenzhen Open - Shenzhen" ,2018-01-02 ,"Anna Blinkova/Nicola Geuer" ,"Jia Qi Kang/Shuai Zhang" ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
"Bangkok Challenger" ,2018-01-03 ,"Sanchai Ratiwatana/Sonchat Ratiwatana" ,"Ivan Sabanov/Matej Sabanov" ,2 ,0 ,7 ,6 , , , ,6 ,3 , , ,
"Bangkok Challenger" ,2018-01-03 ,"Mao Xin Gong/Di Wu" ,"Flavio Cipolla/Aleksandr Nedovesov" ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
"Bangkok Challenger" ,2018-01-03 ,"Cheng Peng Hsieh/Tsung Hua Yang" ,"James Cerretani/Joe Salisbury" ,2 ,1 ,6 ,6 ,1 , , ,7 ,4 ,7 , ,
"Bangkok Challenger" ,2018-01-03 ,"Hsien Yin Peng/Ze Zhang" ,"Congsup Congcar/Kasidit Samrej" ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
"Bangkok Challenger" ,2018-01-03 ,"Mikhail Elgin/Timur Khabibulin" ,"Pruchya Isarow/Wishaya Trongcharoenchaikul" ,2 ,0 ,6 ,6 , , , ,1 ,2 , , ,
"Bangkok Challenger" ,2018-01-03 ,"Nikola Milojevic/Mohamed Safwat" ,"Frederik Nielsen/David O'hare" ,2 ,0 ,6 ,6 , , , ,1 ,4 , , ,
"Brisbane International - Brisbane" ,2018-01-03 ,"Henri Kontinen/John Peers" ,"Matthew Ebden/John Millman" ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
"Brisbane International - Brisbane" ,2018-01-03 ,"Wesley Koolhof/Artem Sitak" ,"Steve Johnson/Gilles Muller" ,2 ,0 ,7 ,7 , , , ,6 ,5 , , ,
"Brisbane International - Brisbane" ,2018-01-03 ,"Grigor Dimitrov/Ryan Harrison" ,"Nick Kyrgios/Matt Reid" ,2 ,0 ,7 ,7 , , , ,6 ,6 , , ,
"Brisbane International - Brisbane" ,2018-01-03 ,"Marcelo Demoliner/Michael Venus" ,"Nicholas Monroe/John Patrick Smith" ,2 ,1 ,4 ,6 ,1 , , ,6 ,3 ,5 , ,
"Maharashtra Open - Pune" ,2018-01-03 ,"Yuki Bhambri/Divij Sharan" ,"Laslo Djere/Blaz Kavcic" ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
"Maharashtra Open - Pune" ,2018-01-03 ,"Roman Jebavy/Jiri Vesely" ,"Hans Podlipnik Castillo/Andrei Vasilevski" ,2 ,0 ,7 ,7 , , , ,6 ,5 , , ,
"Noumea Challenger" ,2018-01-03 ,"Hubert Hurkacz/Michal Przysiezny" ,"Salvatore Caruso/Federico Gaio" ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
"Noumea Challenger" ,2018-01-03 ,"Bradley Klahn/Jack Withrow" ,"Elliot Benchetrit/Geoffrey Blancaneaux" ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
"Noumea Challenger" ,2018-01-03 ,"Hugo Nys/Tim Puetz" ,"Cameron Norrie/Jose Statham" ,2 ,1 ,7 ,6 ,1 , , ,6 ,7 ,9 , ,
"Noumea Challenger" ,2018-01-03 ,"Alejandro Gonzalez/Jaume Antoni Munar Clar" ,"Vincent Millot/Gleb Sakharov" ,2 ,1 ,6 ,2 ,1 , , ,3 ,6 ,1 , ,
"Playford Challenger" ,2018-01-03 ,"Maverick Banes/Jason Murray Kubler" ,"Marc Polmans/Andrew Whittington" ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
"Playford Challenger" ,2018-01-03 ,"Max Purcell/Luke Saville" ,"Omar Jasika/Christopher O'Connell" ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
"Qatar ExxonMobil Open - Doha" ,2018-01-03 ,"Pablo Carreno Busta/Guillermo Garcia Lopez" ,"Ivan Dodig/Fernando Verdasco" ,2 ,1 ,6 ,5 ,1 , , ,3 ,7 ,7 , ,
"Qatar ExxonMobil Open - Doha" ,2018-01-03 ,"Jamie Murray/Bruno Soares" ,"Borna Coric/Jan Lennard Struff" ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
"Qatar ExxonMobil Open - Doha" ,2018-01-03 ,"Oliver Marach/Mate Pavic" ,"Tuna Altuna/Elias Ymer" ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
"Qatar ExxonMobil Open - Doha" ,2018-01-03 ,"Feliciano Lopez/Rajeev Ram" ,"Nikoloz Basilashvili/Andreas Haider Maurer" ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
"ASB Classic - Auckland" ,2018-01-03 ,"Eri Hozumi/Miyu Kato" ,"Ysaline Bonaventure/Viktorija Golubic" ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
"ASB Classic - Auckland" ,2018-01-03 ,"Madison Brengle/Nicole Melichar" ,"Naomi Broady/Maria Irigoyen" ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
"ASB Classic - Auckland" ,2018-01-03 ,"Sara Errani/Bibiane Schoofs" ,"Arina Rodionova/Maryna Zanevska" ,2 ,0 ,6 ,7 , , , ,4 ,6 , , ,
"ASB Classic - Auckland" ,2018-01-03 ,"Nao Hibino/Darija Jurak" ,"Shu Ying Hsieh/Jade Lewis" ,2 ,0 ,6 ,6 , , , ,1 ,0 , , ,
"Brisbane International - Brisbane" ,2018-01-03 ,"Ashleigh Barty/Casey Dellacqua" ,"Priscilla Hon/Ajla Tomljanovic" ,2 ,0 ,7 ,6 , , , ,5 ,1 , , ,
"Brisbane International - Brisbane" ,2018-01-03 ,"Andreja Klepac/Maria Jose Martinez Sanchez" ,"Lyudmyla Kichenok/Makoto Ninomiya" ,2 ,1 ,5 ,7 ,1 , , ,7 ,5 ,7 , ,
"Brisbane International - Brisbane" ,2018-01-03 ,"Latisha Chan/Andrea Hlavackova" ,"Michaella Krajicek/Alla Kudryavtseva" ,2 ,0 ,6 ,6 , , , ,3 ,0 , , ,
"Shenzhen Open - Shenzhen" ,2018-01-03 ,"Barbora Krejcikova/Katerina Siniakova" ,"Jing Jing Lu/Qiang Wang" ,2 ,0 ,6 ,6 , , , ,0 ,3 , , ,
"Shenzhen Open - Shenzhen" ,2018-01-03 ,"Lesley Kerkhove/Lidziya Marozava" ,"Hanyu Guo/Xin Yu Wang" ,2 ,1 ,4 ,6 ,1 , , ,6 ,4 ,3 , ,
"Shenzhen Open - Shenzhen" ,2018-01-03 ,"Anna Blinkova/Nicola Geuer" ,"Nicole Gibbs/Carol Zhao" ,2 ,0 ,6 ,6 , , , ,2 ,1 , , ,
"Bangkok Challenger" ,2018-01-04 ,"Sanchai Ratiwatana/Sonchat Ratiwatana" ,"Mikhail Elgin/Timur Khabibulin" ,2 ,1 ,6 ,3 ,1 , , ,4 ,6 ,4 , ,
"Bangkok Challenger" ,2018-01-04 ,"Gerard Granollers/Marcel Granollers" ,"Hsien Yin Peng/Ze Zhang" ,2 ,0 ,6 ,7 , , , ,3 ,6 , , ,
"Bangkok Challenger" ,2018-01-04 ,"Cheng Peng Hsieh/Tsung Hua Yang" ,"Nikola Milojevic/Mohamed Safwat" ,2 ,0 ,7 ,6 , , , ,6 ,0 , , ,
"Bangkok Challenger" ,2018-01-04 ,"Zdenek Kolar/Goncalo Oliveira" ,"Mao Xin Gong/Di Wu" ,2 ,0 ,6 ,7 , , , ,1 ,5 , , ,
"Brisbane International - Brisbane" ,2018-01-04 ,"Leonardo Mayer/Horacio Zeballos" ,"Marcelo Demoliner/Michael Venus" ,2 ,1 ,7 ,6 ,1 , , ,6 ,7 ,1 , ,
"Maharashtra Open - Pune" ,2018-01-04 ,"Yuki Bhambri/Divij Sharan" ,"Robert Lindstedt/Franko Skugor" ,2 ,1 ,7 ,2 ,1 , , ,5 ,6 ,6 , ,
"Maharashtra Open - Pune" ,2018-01-04 ,"Robin Haase/Matwe Middelkoop" ,"Adil Shamasdin/Neal Skupski" ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
"Maharashtra Open - Pune" ,2018-01-04 ,"Pierre Hugues Herbert/Gilles Simon" ,"Rohan Bopanna/Jeevan Nedunchezhiyan" ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
"Noumea Challenger" ,2018-01-04 ,"Hugo Nys/Tim Puetz" ,"Hubert Hurkacz/Michal Przysiezny" ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
"Noumea Challenger" ,2018-01-04 ,"Alejandro Gonzalez/Jaume Antoni Munar Clar" ,"Bradley Klahn/Jack Withrow" ,2 ,1 ,6 ,4 ,1 , , ,4 ,6 ,9 , ,
