tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
"ATP Challenger 2003 Numea - New Caledonia" ,2004-01-01 ,"Vincent Baudat/Michael Staniak" ,"Ulf Fischer/Florian Mayer" ,2 ,0 ,6 ,7 , , , ,2 ,6 , , ,
"ATP Challenger 2003 Numea - New Caledonia" ,2004-01-01 ,"Philipp Kohlschreiber/Oliver Marach" ,"Anthony Ross/Joseph Sirianni" ,2 ,0 ,7 ,7 , , , ,6 ,6 , , ,
"ATP Challenger 2003 Numea - New Caledonia" ,2004-01-01 ,"Fred Hemmes/Tom Nijssen" ,"Ryan Azougga/Aurelien David" ,2 ,0 ,6 ,6 , , , ,0 ,0 , , ,
"ATP Challenger 2003 Numea - New Caledonia" ,2004-01-01 ,"Pierre Henri Guillaume/Philippe Poignon" ,"Nicolas Frayssinoux/Philippe Frayssinoux" ,2 ,1 ,6 ,6 ,6 , , ,7 ,3 ,1 , ,
"ATP Challenger 2003 Numea - New Caledonia" ,2004-01-01 ,"Guillermo Canas/Diego Veronelli" ,"Jean Francois Bachelot/Jerome Golmard" ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
"ATP Challenger 2003 Numea - New Caledonia" ,2004-01-01 ,"Luke Bourgeois/Vince Mellino" ,"Tomas Cakl/Petr Kralert" ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
"ATP Challenger 2003 Numea - New Caledonia" ,2004-01-02 ,"Ashley Fisher/Stephen Huss" ,"Vincent Baudat/Michael Staniak" ,2 ,0 ,7 ,6 , , , ,5 ,2 , , ,
"ATP Challenger 2003 Numea - New Caledonia" ,2004-01-02 ,"Philipp Kohlschreiber/Oliver Marach" ,"Fred Hemmes/Tom Nijssen" ,1 ,0 ,w , , , , , , , , ,
"ATP Challenger 2003 Numea - New Caledonia" ,2004-01-02 ,"Pierre Henri Guillaume/Philippe Poignon" ,"Guillermo Canas/Diego Veronelli" ,1 ,0 ,w , , , , , , , , ,
"ATP Challenger 2003 Numea - New Caledonia" ,2004-01-02 ,"Luke Bourgeois/Vince Mellino" ,"Yves Allegro/Lars Burgsmuller" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
