tournament,date,aName,bName,aSets,bSets,aS1,aS2,aS3,aS4,aS5,bS1,bS2,bS3,bS4,bS5,surface,level,federation
"Aircel Chennai Open - Chennai 2011" ,2011-01-03 00:00:00 ,"Mahesh Bhupathi/Leander Paes" ,"Frank Dancevic/Stan Wawrinka" ,2 ,1 ,3 ,7 ,1 , , ,6 ,6 ,4 , , ,HARD ,atp ,ATP
"Aircel Chennai Open - Chennai 2011" ,2011-01-03 00:00:00 ,"Philipp Marx/Ken Skupski" ,"Xavier Malisse/Jamie Murray" ,2 ,0 ,6 ,6 , , , ,3 ,1 , , , ,HARD ,atp ,ATP
"Aircel Chennai Open - Chennai 2011" ,2011-01-03 00:00:00 ,"Robin Haase/David Martin" ,"Somdev Devvarman/Sanam Singh" ,2 ,1 ,5 ,6 ,1 , , ,7 ,2 ,8 , , ,HARD ,atp ,ATP
"Brisbane International - Brisbane 2011" ,2011-01-03 00:00:00 ,"Benjamin Becker/Michael Kohlmann" ,"Rameez Junaid/Tobias Kamke" ,2 ,1 ,6 ,1 ,1 , , ,4 ,6 ,1 , , ,HARD ,atp ,ATP
"Brisbane International - Brisbane 2011" ,2011-01-03 00:00:00 ,"Robert Lindstedt/Horia Tecau" ,"Eric Butorac/Jean Julien Rojer" ,2 ,1 ,6 ,7 ,1 , , ,7 ,6 ,2 , , ,HARD ,atp ,ATP
"Qatar ExxonMobil Open - Doha 2011" ,2011-01-03 00:00:00 ,"Filip Polasek/Sergiy Stakhovsky" ,"Johan Brunstrom/Jarkko Nieminen" ,2 ,0 ,6 ,7 , , , ,3 ,6 , , , ,HARD ,atp ,ATP
"Qatar ExxonMobil Open - Doha 2011" ,2011-01-03 00:00:00 ,"Teimuraz Gabashvili/Philipp Kohlschreiber" ,"Viktor Troicki/Nenad Zimonjic" ,2 ,1 ,6 ,6 ,1 , , ,4 ,7 ,5 , , ,HARD ,atp ,ATP
"Qatar ExxonMobil Open - Doha 2011" ,2011-01-03 00:00:00 ,"Mohammad Ghareeb/Mubarak Shannan Zayid" ,"Reda El Amrani/Abdulrahman Al Harib" ,2 ,1 ,4 ,7 ,1 , , ,6 ,6 ,9 , , ,HARD ,atp ,ATP
"Aircel Chennai Open - Chennai 2011" ,2011-01-04 00:00:00 ,"Marin Cilic/Ivan Dodig" ,"Leos Friedl/Jordan Kerr" ,2 ,0 ,6 ,7 , , , ,0 ,5 , , , ,HARD ,atp ,ATP
"Aircel Chennai Open - Chennai 2011" ,2011-01-04 00:00:00 ,"Simone Bolelli/Janko Tipsarevic" ,"Divij Sharan/Vishnu Vardhan" ,2 ,0 ,6 ,6 , , , ,2 ,2 , , , ,HARD ,atp ,ATP
"Brisbane International - Brisbane 2011" ,2011-01-04 00:00:00 ,"Philipp Petzschner/Alexander Peya" ,"Mardy Fish/Andy Roddick" ,2 ,1 ,7 ,3 ,1 , , ,5 ,6 ,9 , , ,HARD ,atp ,ATP
"Brisbane International - Brisbane 2011" ,2011-01-04 00:00:00 ,"Carsten Ball/Chris Guccione" ,"Lukasz Kubot/Oliver Marach" ,2 ,1 ,7 ,4 ,1 , , ,5 ,6 ,8 , , ,HARD ,atp ,ATP
"Brisbane International - Brisbane 2011" ,2011-01-04 00:00:00 ,"Max Mirnyi/Daniel Nestor" ,"Thiemo de Bakker/Dmitry Tursunov" ,2 ,1 ,3 ,6 ,1 , , ,6 ,3 ,5 , , ,HARD ,atp ,ATP
"Brisbane International - Brisbane 2011" ,2011-01-04 00:00:00 ,"Arnaud Clement/Michal Mertinak" ,"Alexandr Dolgopolov/Denis Istomin" ,2 ,0 ,6 ,6 , , , ,4 ,4 , , , ,HARD ,atp ,ATP
"Qatar ExxonMobil Open - Doha 2011" ,2011-01-04 00:00:00 ,"Daniele Bracciali/Andreas Seppi" ,"Daniel Gimeno Traver/Ruben Ramirez Hidalgo" ,2 ,0 ,6 ,6 , , , ,2 ,3 , , , ,HARD ,atp ,ATP
"Qatar ExxonMobil Open - Doha 2011" ,2011-01-04 00:00:00 ,"Marc Lopez/Rafael Nadal" ,"David Marrero/Pere Riba" ,2 ,0 ,6 ,7 , , , ,3 ,5 , , , ,HARD ,atp ,ATP
"Qatar ExxonMobil Open - Doha 2011" ,2011-01-04 00:00:00 ,"Marco Chiudinelli/Jo Wilfried Tsonga" ,"Guillermo Garcia Lopez/Rainer Schuettler" ,2 ,0 ,6 ,6 , , , ,1 ,2 , , , ,HARD ,atp ,ATP
"Qatar ExxonMobil Open - Doha 2011" ,2011-01-04 00:00:00 ,"Fabio Fognini/Igor Zelenay" ,"Ernests Gulbis/Mischa Zverev" ,2 ,1 ,7 ,3 ,1 , , ,5 ,6 ,5 , , ,HARD ,atp ,ATP
"Qatar ExxonMobil Open - Doha 2011" ,2011-01-04 00:00:00 ,"Frantisek Cermak/Christopher Kas" ,"Mariusz Fyrstenberg/Victor Hanescu" ,2 ,0 ,6 ,6 , , , ,2 ,2 , , , ,HARD ,atp ,ATP
"Aircel Chennai Open - Chennai 2011" ,2011-01-05 00:00:00 ,"Sanchai Ratiwatana/Sonchat Ratiwatana" ,"Colin Fleming/Ross Hutchins" ,2 ,0 ,7 ,6 , , , ,6 ,1 , , , ,HARD ,atp ,ATP
