tournament,date,aName,bName,aSets,bSets,aS1,aS2,aS3,aS4,aS5,bS1,bS2,bS3,bS4,bS5,surface,level,federation
"Budapest Challenger 2019" ,2019-02-10 00:00:00 ,"Kevin Krawietz/Filip Polasek" ,"Filippo Baldi/Luca Margaroli" ,2 ,0 ,7 ,7 , , , ,5 ,6 , , , ,I. HARD ,challeger ,ATP
"Cordoba Open - Cordoba 2019" ,2019-02-10 00:00:00 ,"Roman Jebavy/Andres Molteni" ,"Maximo Gonzalez/Horacio Zeballos" ,2 ,0 ,6 ,7 , , , ,4 ,6 , , , ,CLAY ,atp ,ATP
"Dallas Challenger 2019" ,2019-02-10 00:00:00 ,"Marcos Giron/Dennis Novikov" ,"Ante Pavic/Ruan Roelofse" ,2 ,0 ,6 ,7 , , , ,4 ,6 , , , ,I. HARD ,challeger ,ATP
"DIEMA XTRA Sofia Open - Sofia 2019" ,2019-02-10 00:00:00 ,"Nikola Mektic/Jurgen Melzer" ,"Cheng Peng Hsieh/Christopher Rungkat" ,2 ,1 ,6 ,4 ,1 , , ,2 ,6 ,2 , , ,I. HARD ,atp ,ATP
"Open Sud de France - Montpellier 2019" ,2019-02-10 00:00:00 ,"Ivan Dodig/Edouard Roger Vasselin" ,"Benjamin Bonzi/Antoine Hoang" ,2 ,0 ,6 ,6 , , , ,4 ,3 , , , ,I. HARD ,atp ,ATP
"ABN AMRO World Tennis Tournament - Rotterdam 2019" ,2019-02-11 00:00:00 ,"Philipp Kohlschreiber/Fernando Verdasco" ,"Austin Krajicek/Artem Sitak" ,2 ,1 ,7 ,3 ,1 , , ,5 ,6 ,7 , , ,I. HARD ,atp ,ATP
"ABN AMRO World Tennis Tournament - Rotterdam 2019" ,2019-02-11 00:00:00 ,"Jeremy Chardy/Henri Kontinen" ,"Ben Mclachlan/Jan Lennard Struff" ,2 ,1 ,2 ,6 ,1 , , ,6 ,3 ,5 , , ,I. HARD ,atp ,ATP
"Argentina Open - Buenos Aires 2019" ,2019-02-11 00:00:00 ,"Jaume Antoni Munar Clar/Albert Ramos Vinolas" ,"Aljaz Bedene/David Marrero" ,2 ,1 ,7 ,3 ,1 , , ,6 ,6 ,9 , , ,CLAY ,atp ,ATP
"Argentina Open - Buenos Aires 2019" ,2019-02-11 00:00:00 ,"Marco Cecchinato/Dusan Lajovic" ,"Federico Delbonis/Guillermo Duran" ,2 ,1 ,4 ,6 ,1 , , ,6 ,3 ,8 , , ,CLAY ,atp ,ATP
"Argentina Open - Buenos Aires 2019" ,2019-02-11 00:00:00 ,"Roberto Carballes Baena/Malek Jaziri" ,"Sander Gille/Joran Vliegen" ,2 ,0 ,6 ,7 , , , ,3 ,6 , , , ,CLAY ,atp ,ATP
