Ranking,Player,Points
1,Novak Djokovic,9045
2,Rafael Nadal,7480
3,Roger Federer,6420
4,Alexander Zverev,6385
5,Juan Martin del Potro,5300
6,Kevin Anderson,4710
7,Marin Cilic,4250
8,Dominic Thiem,4095
9,Kei Nishikori,3590
10,John Isner,3155
11,Karen Khachanov,2835
12,Borna Coric,2480
13,Fabio Fognini,2315
14,Kyle Edmund,2150
15,Stefanos Tsitsipas,2095
16,Daniil Medvedev,1977
17,Diego Schwartzman,1880
18,Milos Raonic,1855
19,Grigor Dimitrov,1835
20,Marco Cecchinato,1819
21,Nikoloz Basilashvili,1795
22,David Goffin,1785
23,Pablo Carreno Busta,1705
24,Roberto Bautista Agut,1605
25,Hyeon Chung,1585
26,Richard Gasquet,1535
27,Denis Shapovalov,1440
28,Fernando Verdasco,1410
29,Gael Monfils,1400
30,Gilles Simon,1370
31,Alex de Minaur,1298
32,Lucas Pouille,1245
33,Steve Johnson,1190
34,Philipp Kohlschreiber,1125
35,Nick Kyrgios,1125
36,Marton Fucsovics,1122
37,Andreas Seppi,1106
38,John Millman,1083
39,Frances Tiafoe,1080
40,Jeremy Chardy,1050
41,Martin Klizan,1050
42,Adrian Mannarino,1045
43,Nicolas Jarry,1022
44,Joao Sousa,1017
45,Malek Jaziri,1014
46,Matthew Ebden,1001
47,Damir Dzumhur,985
48,Dusan Lajovic,985
49,Taylor Fritz,974
50,Robin Haase,965
51,Sam Querrey,955
52,Benoit Paire,935
53,Mikhail Kukushkin,935
54,Matteo Berrettini,932
55,Pierre-Hugues Herbert,903
56,Leonardo Mayer,895
57,Jan-Lennard Struff,875
58,Guido Pella,860
59,Peter Gojowczyk,855
60,Marius Copil,823
61,Tennys Sandgren,814
62,Ryan Harrison,810
63,Denis Kudla,810
64,Feliciano Lopez,795
65,Albert Ramos-Vinolas,790
66,Stan Wawrinka,785
67,Aljaz Bedene,780
68,Andrey Rublev,760
69,Mischa Zverev,750
70,Vasek Pospisil,716
71,Tomas Berdych,715
72,Jordan Thompson,715
73,Roberto Carballes Baena,714
74,Maximilian Marterer,706
75,Yoshihito Nishioka,701
76,Bradley Klahn,699
77,Taro Daniel,691
78,Mackenzie McDonald,688
79,Guido Andreozzi,682
80,Federico Delbonis,678
81,Jaume Munar,663
82,Pablo Andujar,658
83,Bernard Tomic,655
84,Christian Garin,650
85,Jozef Kovalik,638
86,Hubert Hurkacz,636
87,Mirza Basic,636
88,Pablo Cuevas,630
89,Jiri Vesely,629
90,Cameron Norrie,627
91,Ilya Ivashka,622
92,Denis Istomin,622
93,Laslo Djere,621
94,Filip Krajinovic,620
95,Ernests Gulbis,612
96,Marcel Granollers,598
97,Evgeny Donskoy,594
98,Radu Albot,592
99,Reilly Opelka,590
100,Ivo Karlovic,589
101,Thomas Fabbiano,573
102,Ugo Humbert,572
103,Michael Mmoh,563
104,Pedro Sousa,550
105,Guillermo Garcia-Lopez,543
106,Jack Sock,540
107,Lorenzo Sonego,532
108,Felix Auger-Aliassime,527
109,Paolo Lorenzi,525
110,Prajnesh Gunneswaran,521
111,Jared Donaldson,520
112,Casper Ruud,518
113,Jason Kubler,516
114,Lukas Lacko,514
115,Elias Ymer,511
116,Ricardas Berankis,507
117,Ruben Bemelmans,496
118,Juan Ignacio Londero,491
119,Peter Polansky,482
120,Thiago Monteiro,475
121,Jason Jung,470
122,Hugo Dellien,466
123,Marco Trungelliti,463
124,Marcos Baghdatis,460
125,David Ferrer,460
126,Yannick Maden,460
127,Lloyd Harris,458
128,Quentin Halys,445
129,Adrian Menendez-Maceiras,442
