tournament,date,aName,bName,aSets,bSets,aS1,aS2,aS3,aS4,aS5,bS1,bS2,bS3,bS4,bS5,surface,level,federation
Brisbane International - Brisbane 2018 ,2018-12-30 00:00:00,Yasutaka Uchiyama ,Marc Polmans ,2,0,6,6, , , ,2,2, , , ,HARD ,atp ,ATP
Brisbane International - Brisbane 2018 ,2018-12-30 00:00:00,Thanasi Kokkinakis ,Christian Garin ,2,0,6,6, , , ,2,4, , , ,HARD ,atp ,ATP
Brisbane International - Brisbane 2018 ,2018-12-30 00:00:00,Miomir Kecmanovic ,Taro Daniel ,2,1,7,6,6, , ,5,7,3, , ,HARD ,atp ,ATP
Brisbane International - Brisbane 2018 ,2018-12-30 00:00:00,Ugo Humbert ,Christopher Eubanks ,2,0,6,6, , , ,2,3, , , ,HARD ,atp ,ATP
Hopman Cup - Perth 2018 ,2018-12-30 00:00:00,Roger Federer ,Cameron Norrie ,2,0,6,6, , , ,1,1, , , ,HARD ,atp ,ATP
Hopman Cup - Perth 2018 ,2018-12-30 00:00:00,Alexander Zverev ,David Ferrer ,2,1,6,4,7, , ,4,6,6, , ,HARD ,atp ,ATP
M15 Anning 2018 ,2018-12-30 00:00:00,Kazuma Kawachi ,Runyu Zhao ,2,0,6,6, , , ,1,0, , , ,CLAY ,futures ,ITF
M15 Anning 2018 ,2018-12-30 00:00:00,Francesco Bessire ,Krittin Koaykul ,2,0,6,6, , , ,3,2, , , ,CLAY ,futures ,ITF
M15 Anning 2018 ,2018-12-30 00:00:00,Zhe Zhou ,Jun Nan Tao ,2,0,6,6, , , ,3,2, , , ,CLAY ,futures ,ITF
M15 Anning 2018 ,2018-12-30 00:00:00,Yuichiro Inui ,Zhuoyang Qiu ,2,0,6,6, , , ,0,2, , , ,CLAY ,futures ,ITF
M15 Anning 2018 ,2018-12-30 00:00:00,Daisuke Sumizawa ,Zheng Baoluo ,2,0,6,7, , , ,2,6, , , ,CLAY ,futures ,ITF
M25 Hong Kong 2018 ,2018-12-30 00:00:00,William Ma ,Alan Chang ,1,0,w , , , , , , , , , ,HARD ,futures ,ITF
Qatar ExxonMobil Open - Doha 2018 ,2018-12-30 00:00:00,Guillermo Garcia Lopez ,Marcos Baghdatis ,2,1,4,6,6, , ,6,2,4, , ,HARD ,atp ,ATP
