tournament,date,aName,bName,aSets,bSets,aS1,aS2,aS3,aS4,aS5,bS1,bS2,bS3,bS4,bS5,level,surface,federation
"Brisbane International - Brisbane" ,2019-01-01 00:00:00 ,"Denis Kudla" ,"Taylor Harry Fritz" ,2 ,1 ,7 ,6 ,6 , , ,6 ,7 ,4 , ,,Hard,atp,ATP
"Brisbane International - Brisbane" ,2019-01-01 00:00:00 ,"Jeremy Chardy" ,"Jan Lennard Struff" ,2 ,1 ,4 ,6 ,6 , , ,6 ,3 ,4 , ,,Hard,atp,ATP
"Brisbane International - Brisbane" ,2019-01-01 00:00:00 ,"Andy Murray" ,"James Duckworth" ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,,Hard,atp,ATP
"Brisbane International - Brisbane" ,2019-01-01 00:00:00 ,"Nick Kyrgios" ,"Ryan Harrison" ,2 ,1 ,7 ,5 ,7 , , ,6 ,7 ,6 , ,,Hard,atp,ATP
"Brisbane International - Brisbane" ,2019-01-01 00:00:00 ,"Jo Wilfried Tsonga" ,"Thanasi Kokkinakis" ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,,Hard,atp,ATP
"Brisbane International - Brisbane" ,2019-01-01 00:00:00 ,"Alex De Minaur" ,"Alexei Popyrin" ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,,Hard,atp,ATP
"Brisbane International - Brisbane" ,2019-01-01 00:00:00 ,"Jordan Thompson" ,"Alex Bolt" ,2 ,0 ,6 ,6 , , , ,3 ,0 , , ,,Hard,atp,ATP
"M15 Anning" ,2019-01-01 00:00:00 ,"Cheong Eui Kim" ,"Ray Ho" ,2 ,1 ,6 ,3 ,6 , , ,3 ,6 ,3 , ,,Clay,futures,ITF
"M15 Anning" ,2019-01-01 00:00:00 ,"Nitin Kumar Sinha" ,"Soichiro Moritani" ,2 ,1 ,6 ,6 ,6 , , ,1 ,7 ,3 , ,,Clay,futures,ITF
"M15 Anning" ,2019-01-01 00:00:00 ,"Eric Vanshelboim" ,"Ya Hui Nie" ,2 ,0 ,6 ,6 , , , ,0 ,1 , , ,,Clay,futures,ITF
