tournament	date	date_real	aName	bName	aSets	bSets	aS1	aS2	aS3	aS4	aS5	bS1	bS2	bS3	bS4	bS5	surface	level	federation
ASB Classic - Auckland 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Bradley Klahn 	Pablo Cuevas 	2	1	6	7	7	 	 	7	6	6	 	 	HARD 	atp 	ATP
ASB Classic - Auckland 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Mackenzie Mcdonald 	Laslo Djere 	2	0	7	7	 	 	 	5	6	 	 	 	HARD 	atp 	ATP
ASB Classic - Auckland 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Maximilian Marterer 	Thomas Fabbiano 	2	0	6	6	 	 	 	4	4	 	 	 	HARD 	atp 	ATP
ASB Classic - Auckland 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Ugo Humbert 	Roberto Marcora 	2	0	6	7	 	 	 	2	6	 	 	 	HARD 	atp 	ATP
Brisbane International - Brisbane 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Kei Nishikori 	Daniil Medvedev 	2	1	6	3	6	 	 	4	6	2	 	 	HARD 	atp 	ATP
Canberra Challenger 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Fabrice Martin 	Milan Radojkovic 	2	0	6	6	 	 	 	1	4	 	 	 	HARD 	challeger 	ATP
Canberra Challenger 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Michael Look 	Geoffrey Blancaneaux 	2	0	6	6	 	 	 	4	3	 	 	 	HARD 	challeger 	ATP
Canberra Challenger 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Brydan Klein 	Dayne Kelly 	2	0	6	6	 	 	 	4	4	 	 	 	HARD 	challeger 	ATP
Canberra Challenger 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Marco Bortolotti 	Thomas Bosancic 	2	0	6	6	 	 	 	2	2	 	 	 	HARD 	challeger 	ATP
Canberra Challenger 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Maxime Chazal 	Aaron Addison 	2	0	6	6	 	 	 	4	3	 	 	 	HARD 	challeger 	ATP
Canberra Challenger 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Tobias Simon 	Tom Evans 	2	0	6	6	 	 	 	3	2	 	 	 	HARD 	challeger 	ATP
Canberra Challenger 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Harry Bourchier 	Yecong He 	2	1	6	2	6	 	 	4	6	1	 	 	HARD 	challeger 	ATP
Canberra Challenger 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Andrew Harris 	Alexander Zhurbin 	2	1	7	3	6	 	 	5	6	3	 	 	HARD 	challeger 	ATP
Canberra Challenger 2019 	06/01/2019 00:00	2019-01-06 00:00:00	James Frawley 	David Barclay 	2	1	6	6	6	 	 	4	7	2	 	 	HARD 	challeger 	ATP
Canberra Challenger 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Thomas Fancutt 	Zihao Xia 	2	0	6	6	 	 	 	3	2	 	 	 	HARD 	challeger 	ATP
Canberra Challenger 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Marcelo Tomas Barrios Vera 	Jacob Grills 	2	0	6	6	 	 	 	3	3	 	 	 	HARD 	challeger 	ATP
Canberra Challenger 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Marc Andrea Huesler 	Chien Hsun Lo 	2	0	7	6	 	 	 	5	2	 	 	 	HARD 	challeger 	ATP
Canberra Challenger 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Lucas Vuradin 	James Ibrahim 	2	1	7	2	6	 	 	6	6	0	 	 	HARD 	challeger 	ATP
Da Nang Challenger 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Cheong Eui Kim 	Sidharth Rawat 	2	0	6	6	 	 	 	3	1	 	 	 	HARD 	challeger 	ATP
Da Nang Challenger 2019 	06/01/2019 00:00	2019-01-06 00:00:00	N.Sriram Balaji 	Ji Sung Nam 	2	0	7	7	 	 	 	6	6	 	 	 	HARD 	challeger 	ATP
Da Nang Challenger 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Yan Bai 	Tung Lin Wu 	2	0	7	6	 	 	 	5	3	 	 	 	HARD 	challeger 	ATP
Da Nang Challenger 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Riccardo Bonadio 	Stefan Vujic 	2	0	6	6	 	 	 	4	2	 	 	 	HARD 	challeger 	ATP
Da Nang Challenger 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Wishaya Trongcharoenchaikul 	Corentin Denolly 	2	1	1	6	6	 	 	6	3	4	 	 	HARD 	challeger 	ATP
Da Nang Challenger 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Arjun Kadhe 	Alessandro Bega 	2	1	6	4	6	 	 	4	6	4	 	 	HARD 	challeger 	ATP
Da Nang Challenger 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Nam Hoang Ly 	Daniel Altmaier 	2	1	7	4	7	 	 	6	6	6	 	 	HARD 	challeger 	ATP
Da Nang Challenger 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Viktor Durasovic 	Shuichi Sekiguchi 	2	0	6	6	 	 	 	3	2	 	 	 	HARD 	challeger 	ATP
Da Nang Challenger 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Youssef Hossam 	Jordi Samper Montana 	2	0	6	6	 	 	 	3	3	 	 	 	HARD 	challeger 	ATP
Da Nang Challenger 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Kaito Uesugi 	Alafia Ayeni 	2	1	7	2	6	 	 	6	6	3	 	 	HARD 	challeger 	ATP
Da Nang Challenger 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Benjamin Hassan 	Jeremy Jahn 	2	1	6	1	6	 	 	2	6	3	 	 	HARD 	challeger 	ATP
Da Nang Challenger 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Manish Sureshkumar 	Pruchya Isarow 	2	0	7	6	 	 	 	5	3	 	 	 	HARD 	challeger 	ATP
Da Nang Challenger 2019 	06/01/2019 00:00	2019-01-06 00:00:00	Alen Avidzba 	Linh Giang Trinh 	2	0	6	6	 	 	 	3	4	 	 	 	HARD 	challeger 	ATP
