tournament,date,date_real,aName,bName,aSets,bSets,aS1,aS2,aS3,aS4,aS5,bS1,bS2,bS3,bS4,bS5,surface,level,federation
ABN AMRO World Tennis Tournament - Rotterdam 2019 ,10/02/2019 00:00,2019-02-10 00:00:00,Gilles Simon ,Ernests Gulbis ,2,0,7,7, , , ,6,6, , , ,I. HARD ,atp ,ATP
ABN AMRO World Tennis Tournament - Rotterdam 2019 ,10/02/2019 00:00,2019-02-10 00:00:00,Thomas Fabbiano ,Marius Copil ,2,1,7,3,7, , ,5,6,6, , ,I. HARD ,atp ,ATP
ABN AMRO World Tennis Tournament - Rotterdam 2019 ,10/02/2019 00:00,2019-02-10 00:00:00,Franko Skugor ,Ryan Nijboer ,2,1,4,6,6, , ,6,2,4, , ,I. HARD ,atp ,ATP
ABN AMRO World Tennis Tournament - Rotterdam 2019 ,10/02/2019 00:00,2019-02-10 00:00:00,Peter Gojowczyk ,Andrey Rublev ,2,1,6,6,6, , ,4,7,2, , ,I. HARD ,atp ,ATP
Argentina Open - Buenos Aires 2019 ,10/02/2019 00:00,2019-02-10 00:00:00,Rogerio Dutra Da Silva ,Cameron Norrie ,2,1,6,7,6, , ,7,6,2, , ,CLAY ,atp ,ATP
Argentina Open - Buenos Aires 2019 ,10/02/2019 00:00,2019-02-10 00:00:00,Marcelo Arevalo ,Elias Ymer ,2,1,6,1,6, , ,4,6,4, , ,CLAY ,atp ,ATP
Argentina Open - Buenos Aires 2019 ,10/02/2019 00:00,2019-02-10 00:00:00,Facundo Bagnis ,Hugo Dellien ,2,0,7,6, , , ,6,2, , , ,CLAY ,atp ,ATP
Argentina Open - Buenos Aires 2019 ,10/02/2019 00:00,2019-02-10 00:00:00,Lorenzo Sonego ,Alessandro Giannessi ,1,0,6,3, , , ,4,3, , , ,CLAY ,atp ,ATP
Budapest Challenger 2019 ,10/02/2019 00:00,2019-02-10 00:00:00,Alexander Bublik ,Roberto Marcora ,2,0,6,6, , , ,0,3, , , ,I. HARD ,challeger ,ATP
Chennai Challenger 2019 ,10/02/2019 00:00,2019-02-10 00:00:00,Corentin Moutet ,Andrew Harris ,2,0,6,6, , , ,3,3, , , ,HARD ,challeger ,ATP
Cordoba Open - Cordoba 2019 ,10/02/2019 00:00,2019-02-10 00:00:00,Juan Ignacio Londero ,Guido Pella ,2,1,3,7,6, , ,6,5,1, , ,CLAY ,atp ,ATP
Dallas Challenger 2019 ,10/02/2019 00:00,2019-02-10 00:00:00,Mitchell Krueger ,Mackenzie Mcdonald ,2,1,4,7,6, , ,6,6,1, , ,I. HARD ,challeger ,ATP
DIEMA XTRA Sofia Open - Sofia 2019 ,10/02/2019 00:00,2019-02-10 00:00:00,Daniil Medvedev ,Marton Fucsovics ,2,0,6,6, , , ,4,3, , , ,I. HARD ,atp ,ATP
M15 Antalya 2019 ,10/02/2019 00:00,2019-02-10 00:00:00,Edris Fetisleam ,Dejan Katic ,2,0,6,6, , , ,4,3, , , ,CLAY ,futures ,ITF
M15 Grenoble 2019 ,10/02/2019 00:00,2019-02-10 00:00:00,Leny Mitjana ,Yannick Mertens ,2,0,6,7, , , ,3,5, , , ,I. HARD ,futures ,ITF
M15 Kaarst 2019 ,10/02/2019 00:00,2019-02-10 00:00:00,Igor Sijsling ,Botic Van De Zandschulp ,2,0,6,6, , , ,1,4, , , ,CARPET ,futures ,ITF
M15 Monastir 2019 ,10/02/2019 00:00,2019-02-10 00:00:00,Felipe Meligeni Rodrigues Alves ,Evan Hoyt ,2,0,6,6, , , ,4,3, , , ,HARD ,futures ,ITF
M15 Sharm El Sheikh 2019 ,10/02/2019 00:00,2019-02-10 00:00:00,Karim Mohamed Maamoun ,Laurent Lokoli ,2,0,6,6, , , ,3,1, , , ,HARD ,futures ,ITF
M25 Oberentfelden 2019 ,10/02/2019 00:00,2019-02-10 00:00:00,Evan Furness ,Sandro Ehrat ,2,1,4,7,6, , ,6,5,4, , ,CARPET ,futures ,ITF
New York Open - New York 2019 ,10/02/2019 00:00,2019-02-10 00:00:00,Andrea Arnaboldi ,Yosuke Watanuki ,2,1,7,4,6, , ,5,6,3, , ,I. HARD ,atp ,ATP
New York Open - New York 2019 ,10/02/2019 00:00,2019-02-10 00:00:00,Adrian Menendez Maceiras ,Tim Puetz ,2,0,6,6, , , ,3,2, , , ,I. HARD ,atp ,ATP
New York Open - New York 2019 ,10/02/2019 00:00,2019-02-10 00:00:00,Tim Smyczek ,Roberto Quiroz ,2,1,6,6,7, , ,7,3,5, , ,I. HARD ,atp ,ATP
New York Open - New York 2019 ,10/02/2019 00:00,2019-02-10 00:00:00,Ramkumar Ramanathan ,Roy Smith ,2,1,4,6,6, , ,6,2,4, , ,I. HARD ,atp ,ATP
New York Open - New York 2019 ,10/02/2019 00:00,2019-02-10 00:00:00,Brayden Schnur ,Cannon Kingsley ,2,0,7,6, , , ,6,3, , , ,I. HARD ,atp ,ATP
New York Open - New York 2019 ,10/02/2019 00:00,2019-02-10 00:00:00,Christopher Eubanks ,Adam El Mihdawy ,2,0,6,6, , , ,3,2, , , ,I. HARD ,atp ,ATP
New York Open - New York 2019 ,10/02/2019 00:00,2019-02-10 00:00:00,Ernesto Escobedo ,Yasutaka Uchiyama ,2,1,4,6,7, , ,6,3,6, , ,I. HARD ,atp ,ATP
New York Open - New York 2019 ,10/02/2019 00:00,2019-02-10 00:00:00,Alexei Popyrin ,James Ward ,2,0,7,6, , , ,5,4, , , ,I. HARD ,atp ,ATP
Open Sud de France - Montpellier 2019 ,10/02/2019 00:00,2019-02-10 00:00:00,Jo Wilfried Tsonga ,Pierre Hugues Herbert ,2,0,6,6, , , ,4,2, , , ,I. HARD ,atp ,ATP
ABN AMRO World Tennis Tournament - Rotterdam 2019 ,11/02/2019 00:00,2019-02-11 00:00:00,Andreas Seppi ,Peter Gojowczyk ,2,1,7,3,6, , ,6,6,2, , ,I. HARD ,atp ,ATP
ABN AMRO World Tennis Tournament - Rotterdam 2019 ,11/02/2019 00:00,2019-02-11 00:00:00,Mikhail Kukushkin ,Robin Haase ,2,0,6,7, , , ,2,6, , , ,I. HARD ,atp ,ATP
ABN AMRO World Tennis Tournament - Rotterdam 2019 ,11/02/2019 00:00,2019-02-11 00:00:00,Stan Wawrinka ,Benoit Paire ,2,0,7,6, , , ,6,1, , , ,I. HARD ,atp ,ATP
ABN AMRO World Tennis Tournament - Rotterdam 2019 ,11/02/2019 00:00,2019-02-11 00:00:00,Nikoloz Basilashvili ,Hyeon Chung ,2,1,4,7,6, , ,6,6,2, , ,I. HARD ,atp ,ATP
Argentina Open - Buenos Aires 2019 ,11/02/2019 00:00,2019-02-11 00:00:00,Lorenzo Sonego ,Nicolas Jarry ,2,1,6,6,6, , ,7,4,3, , ,CLAY ,atp ,ATP
Argentina Open - Buenos Aires 2019 ,11/02/2019 00:00,2019-02-11 00:00:00,Albert Ramos Vinolas ,Rogerio Dutra Da Silva ,2,0,6,6, , , ,3,4, , , ,CLAY ,atp ,ATP
Argentina Open - Buenos Aires 2019 ,11/02/2019 00:00,2019-02-11 00:00:00,Maximilian Marterer ,Facundo Bagnis ,2,0,6,6, , , ,4,2, , , ,CLAY ,atp ,ATP
Cherbourg Challenger 2019 ,11/02/2019 00:00,2019-02-11 00:00:00,Riccardo Bonadio ,Jonathan Eysseric ,2,0,6,6, , , ,4,3, , , ,I. HARD ,challeger ,ATP
Cherbourg Challenger 2019 ,11/02/2019 00:00,2019-02-11 00:00:00,Manuel Guinard ,Louis Wessels ,2,0,6,6, , , ,2,2, , , ,I. HARD ,challeger ,ATP
Cherbourg Challenger 2019 ,11/02/2019 00:00,2019-02-11 00:00:00,Zdenek Kolar ,Roberto Ortega Olmedo ,2,0,6,6, , , ,1,2, , , ,I. HARD ,challeger ,ATP
Cherbourg Challenger 2019 ,11/02/2019 00:00,2019-02-11 00:00:00,Carlos Taberner ,Tristan Lamasine ,2,1,7,2,6, , ,6,6,4, , ,I. HARD ,challeger ,ATP
Cherbourg Challenger 2019 ,11/02/2019 00:00,2019-02-11 00:00:00,Raul Brancaccio ,Cem Ilkel ,2,0,6,6, , , ,2,4, , , ,I. HARD ,challeger ,ATP
Cherbourg Challenger 2019 ,11/02/2019 00:00,2019-02-11 00:00:00,Antoine Cornut Chauvinc ,Joao Domingues ,2,1,6,3,7, , ,2,6,6, , ,I. HARD ,challeger ,ATP
Cherbourg Challenger 2019 ,11/02/2019 00:00,2019-02-11 00:00:00,Maxime Janvier ,Matteo Martineau ,2,1,6,2,7, , ,4,6,6, , ,I. HARD ,challeger ,ATP
