tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
Mubadala World Tennis Championship ,2015-01-01 ,Andy Murray ,Feliciano Lopez ,2 ,1 ,7 ,5 ,6 , , ,6 ,7 ,4 , ,
Mubadala World Tennis Championship ,2015-01-01 ,Stan Wawrinka ,Nicolas Almagro ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
Mubadala World Tennis Championship ,2015-01-02 ,Andy Murray ,Rafael Nadal ,2 ,0 ,6 ,6 , , , ,2 ,0 , , ,
Mubadala World Tennis Championship ,2015-01-02 ,Nicolas Almagro ,Feliciano Lopez ,2 ,0 ,6 ,7 , , , ,4 ,6 , , ,
Mubadala World Tennis Championship ,2015-01-02 ,Novak Djokovic ,Stan Wawrinka ,2 ,0 ,6 ,6 , , , ,1 ,2 , , ,
Aircel Chennai Open - Chennai ,2015-01-03 ,Alexander Kudryavtsev ,Mohit Mayur Jayaprakash ,2 ,1 ,6 ,7 ,6 , , ,7 ,5 ,2 , ,
Aircel Chennai Open - Chennai ,2015-01-03 ,Thomas Fabbiano ,Rahul Robinson Manoah ,2 ,0 ,6 ,6 , , , ,0 ,0 , , ,
Aircel Chennai Open - Chennai ,2015-01-03 ,Vishnu Vardhan ,Suraj R Prabodh ,2 ,0 ,6 ,6 , , , ,1 ,3 , , ,
Aircel Chennai Open - Chennai ,2015-01-03 ,Illya Marchenko ,Frantisek Cermak ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Aircel Chennai Open - Chennai ,2015-01-03 ,Jeevan Nedunchezhiyan ,Lakshit Sood ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
Aircel Chennai Open - Chennai ,2015-01-03 ,N. Vijay Sundar Prashanth ,Niki Kaliyanda Poonacha ,1 ,0 ,6 ,5 , , , ,1 ,2 , , ,
Aircel Chennai Open - Chennai ,2015-01-03 ,Peter Torebko ,Oliver Marach ,1 ,0 ,6 ,1 , , , ,3 ,0 , , ,
Aircel Chennai Open - Chennai ,2015-01-03 ,Luca Vanni ,Raswant Ravi ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
Aircel Chennai Open - Chennai ,2015-01-03 ,Michael Venus ,Chandril Sood ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Aircel Chennai Open - Chennai ,2015-01-03 ,Aljaz Bedene ,Sumit Nagal ,2 ,0 ,6 ,6 , , , ,2 ,0 , , ,
Aircel Chennai Open - Chennai ,2015-01-03 ,Evgeny Donskoy ,Mate Pavic ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
Aircel Chennai Open - Chennai ,2015-01-03 ,Yuki Bhambri ,Sidharth Rawat ,2 ,0 ,6 ,6 , , , ,1 ,3 , , ,
Aircel Chennai Open - Chennai ,2015-01-03 ,Kaza Vinayak Sharma ,Danai Udomchoke ,2 ,1 ,3 ,6 ,6 , , ,6 ,4 ,2 , ,
Aircel Chennai Open - Chennai ,2015-01-03 ,Egor Gerasimov ,Akash Wagh ,2 ,0 ,6 ,6 , , , ,1 ,0 , , ,
Aircel Chennai Open - Chennai ,2015-01-03 ,Sasi Kumar Mukund ,Fahad Mohammed ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Brisbane International - Brisbane ,2015-01-03 ,Lukasz Kubot ,Alex Kuznetsov ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
Brisbane International - Brisbane ,2015-01-03 ,Frank Dancevic ,Harry Bourchier ,2 ,1 ,7 ,4 ,6 , , ,6 ,6 ,1 , ,
Brisbane International - Brisbane ,2015-01-03 ,Jan Mertl ,Roberto Marcora ,2 ,1 ,7 ,6 ,7 , , ,6 ,7 ,5 , ,
Brisbane International - Brisbane ,2015-01-03 ,Tobias Kamke ,Blake Mott ,2 ,1 ,4 ,7 ,6 , , ,6 ,5 ,2 , ,
Brisbane International - Brisbane ,2015-01-03 ,Tim Smyczek ,Robby Ginepri ,2 ,0 ,6 ,6 , , , ,1 ,1 , , ,
Brisbane International - Brisbane ,2015-01-03 ,Viktor Troicki ,Maverick Banes ,2 ,0 ,6 ,7 , , , ,3 ,6 , , ,
Brisbane International - Brisbane ,2015-01-03 ,Marius Copil ,Andrea Arnaboldi ,2 ,1 ,1 ,6 ,6 , , ,6 ,3 ,2 , ,
Brisbane International - Brisbane ,2015-01-03 ,Miloslav Mecir ,Michal Przysiezny ,2 ,1 ,3 ,6 ,6 , , ,6 ,3 ,4 , ,
