tournament,surface,level,federation
Aircel Chennai Open - Chennai 2011 ,HARD ,atp ,ATP
Brisbane International - Brisbane 2011 ,HARD ,atp ,ATP
Hopman Cup - Perth 2011 ,I. HARD ,atp ,ATP
Qatar ExxonMobil Open - Doha 2011 ,HARD ,atp ,ATP
The Mubadala World Tennis Championship 2011 ,HARD ,atp ,ATP
Noumea Challenger 2011 ,HARD ,challeger ,ATP
Sao Paulo Challenger 2011 ,HARD ,challeger ,ATP
Heineken Open - Auckland 2011 ,HARD ,atp ,ATP
Medibank International - Sydney 2011 ,HARD ,atp ,ATP
AAMI Classic - Kooyong 2011 ,HARD ,atp ,ATP
Australian Open - Melbourne 2011 ,HARD ,grandSlam ,GS
Australian Open (juniors) 2011 ,HARD ,grandSlam ,GS
Heilbronn Challenger 2011 ,I. HARD ,challeger ,ATP
Bucaramanga Challenger 2011 ,CLAY ,challeger ,ATP
Honolulu Challenger 2011 ,HARD ,challeger ,ATP
Reunion Island Challenger 2011 ,HARD ,challeger ,ATP
Singapore Challenger 2011 ,HARD ,challeger ,ATP
Movistar Open - Santiago 2011 ,CLAY ,atp ,ATP
PBZ Zagreb Indoors - Zagreb 2011 ,I. HARD ,atp ,ATP
SA Tennis Open - Johannesburg 2011 ,HARD ,atp ,ATP
Burnie Challenger 2011 ,HARD ,challeger ,ATP
Courmayeur Challenger 2011 ,I. HARD ,challeger ,ATP
Kazan Challenger 2011 ,I. HARD ,challeger ,ATP
ABN AMRO World Tennis Tournament - Rotterdam 2011 ,I. HARD ,atp ,ATP
Brasil Open - Costa do Sauipe 2011 ,CLAY ,atp ,ATP
SAP Open - San Jose 2011 ,I. HARD ,atp ,ATP
Bergamo Challenger 2011 ,I. HARD ,challeger ,ATP
Caloundra Challenger 2011 ,HARD ,challeger ,ATP
Quimper Challenger 2011 ,I. HARD ,challeger ,ATP
Copa Claro - Buenos Aires 2011 ,CLAY ,atp ,ATP
Open 13 - Marseille 2011 ,I. HARD ,atp ,ATP
Regions Morgan Keegan Championships - Memphis 2011 ,I. HARD ,atp ,ATP
Meknes Challenger 2011 ,CLAY ,challeger ,ATP
Abierto Mexicano Telcel - Acapulco 2011 ,CLAY ,atp ,ATP
Delray Beach International Tennis Championships - Delray Beach 2011 ,HARD ,atp ,ATP
Dubai Duty Free Tennis Championships - Dubai 2011 ,HARD ,atp ,ATP
Casablanca Challenger 2011 ,CLAY ,challeger ,ATP
Wolfsburg Challenger 2011 ,CARPET ,challeger ,ATP
Cherbourg Challenger 2011 ,I. HARD ,challeger ,ATP
Dallas Challenger 2011 ,I. HARD ,challeger ,ATP
Salinas Challenger 2011 ,CLAY ,challeger ,ATP
"Davis Cup, Group I, 1R, CHN-TPE 3-2 2011 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group I, 1R, MEX-CAN 1-4 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group I, 1R, PHI-JPN 1-3 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group I, 1R, POR-SVK 4-1 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group I, 1R, SLO-FIN 3-2 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group I, 1R, UKR-NED 2-3 2011 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group I, 1R, URU-COL 4-1 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group I, 1R, UZB-NZL 3-2 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group I, 2R, ISR-POL 3-1 2011 ",HARD ,DAVIS ,ITF
"Davis Cup, Group II, 1R, BLR-BUL 4-1 2011 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group II, 1R, CYP-HUN 0-5 2011 ",HARD ,DAVIS ,ITF
"Davis Cup, Group II, 1R, DEN-MON 3-2 2011 ",CARPET ,DAVIS ,ITF
"Davis Cup, Group II, 1R, ESA-DOM 0-5 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group II, 1R, EST-LTU 3-2 2011 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group II, 1R, GBR-TUN 4-1 2011 ",I. HARD ,DAVIS ,ITF
"Davis Cup, Group II, 1R, GRE-LAT 1-4 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group II, 1R, HKG-PAK 2-3 2011 ",HARD ,DAVIS ,ITF
"Davis Cup, Group II, 1R, IRI-INA 2-3 2011 ",CLAY ,DAVIS ,ITF
"Davis Cup, Group II, 1R, IRL-LUX 2-3 2011 ",I. HARD ,DAVIS ,ITF
