Name,federation,level,startDate
AAPT Championships - Adelaide  2003,ATP,ATP,18/09/2003 00:00
Qatar Exxon Mobil Open 2003 - Doha  2003,ATP,ATP,19/09/2003 00:00
Tata Open 2003 - Chennai  2003,ATP,ATP,20/09/2003 00:00
Adidas International - Sydney  2003,ATP,ATP,21/09/2003 00:00
Heineken Open - Auckland  2003,ATP,ATP,22/09/2003 00:00
Australian Open - Melbourne  2003,GS,GrandSlam,23/09/2003 00:00
Milan Indoors - Milan  2003,ATP,ATP,24/09/2003 00:00
"Davis Cup, Group 1, 1R, AUT-NOR 5-0  2003",ITF,Davis,25/09/2003 00:00
"Davis Cup, Group 1, 1R, BLR-ISR 3-2  2003",ITF,Davis,26/09/2003 00:00
"Davis Cup, Group 1, 1R, ECU-CHI 3-2  2003",ITF,Davis,27/09/2003 00:00
"Davis Cup, Group 1, 1R, IND-JPN 4-1  2003",ITF,Davis,28/09/2003 00:00
"Davis Cup, Group 1, 1R, NZL-PAK 5-0  2003",ITF,Davis,29/09/2003 00:00
"Davis Cup, Group 1, 1R, PER-BAH 5-0  2003",ITF,Davis,30/09/2003 00:00
"Davis Cup, Group 1, 1R, THA-KOR 4-1  2003",ITF,Davis,01/10/2003 00:00
"Davis Cup, Group 1, 1R, UZB-INA 3-2  2003",ITF,Davis,02/10/2003 00:00
"Davis Cup, World Group, 1R, ARG-GER 5-0  2003",ITF,Davis,03/10/2003 00:00
"Davis Cup, World Group, 1R, AUS-GBR 4-1  2003",ITF,Davis,04/10/2003 00:00
"Davis Cup, World Group, 1R, CRO-USA 4-1  2003",ITF,Davis,05/10/2003 00:00
"Davis Cup, World Group, 1R, ESP-BEL 5-0  2003",ITF,Davis,06/10/2003 00:00
"Davis Cup, World Group, 1R, FRA-ROU 4-1  2003",ITF,Davis,07/10/2003 00:00
"Davis Cup, World Group, 1R, RUS-CZE 3-2  2003",ITF,Davis,08/10/2003 00:00
"Davis Cup, World Group, 1R, SUI-NED 3-2  2003",ITF,Davis,09/10/2003 00:00
"Davis Cup, World Group, 1R, SWE-BRA 3-2  2003",ITF,Davis,10/10/2003 00:00
BellSouth Open - Vina del Mar  2003,ATP,ATP,11/10/2003 00:00
Open 13 - Marseille  2003,ATP,ATP,12/10/2003 00:00
Siebel Open - San Jose  2003,ATP,ATP,13/10/2003 00:00
ABN/AMRO World Tennis Tournament - Rotterdam  2003,ATP,ATP,14/10/2003 00:00
Copa AT&T - Buenos Aires  2003,ATP,ATP,15/10/2003 00:00
Kroger / St. Jude International - Memphis  2003,ATP,ATP,16/10/2003 00:00
Abierto Mexicano de Tenis Pegaso - Acapulco  2003,ATP,ATP,17/10/2003 00:00
Copenhagen Open - Copenhagen  2003,ATP,ATP,18/10/2003 00:00
Dubai Tennis Open - Dubai  2003,ATP,ATP,19/10/2003 00:00
Franklin Templeton Tennis Classic - Scottsdale  2003,ATP,ATP,20/10/2003 00:00
International Tennis Championships - Delray Beach  2003,ATP,ATP,21/10/2003 00:00
Tennis Masters Series - Indian Wells  2003,ATP,ATP,22/10/2003 00:00
Tennis Masters Series - Miami  2003,ATP,ATP,23/10/2003 00:00
"Davis Cup, World Group, QF, ARG-RUS 5-0  2003",ITF,Davis,24/10/2003 00:00
"Davis Cup, World Group, QF, AUS-SWE 5-0  2003",ITF,Davis,25/10/2003 00:00
"Davis Cup, World Group, QF, ESP-CRO 5-0  2003",ITF,Davis,26/10/2003 00:00
"Davis Cup, World Group, QF, SUI-FRA 3-2  2003",ITF,Davis,27/10/2003 00:00
Estoril Open - Estoril  2003,ATP,ATP,28/10/2003 00:00
Grand Prix Hassan II - Casablanca  2003,ATP,ATP,29/10/2003 00:00
Tennis Masters Series - Monte Carlo  2003,ATP,ATP,30/10/2003 00:00
Open Seat Godo 2003 - Barcelona  2003,ATP,ATP,31/10/2003 00:00
U.S. Men's Clay Court Championships - Houston  2003,ATP,ATP,01/11/2003 00:00
BMW Open - Munich  2003,ATP,ATP,02/11/2003 00:00
Open de Tenis Comunidad Valenciana - Valencia  2003,ATP,ATP,03/11/2003 00:00
Tennis Masters Series - Rome  2003,ATP,ATP,04/11/2003 00:00
Tennis Masters Series - Hamburg  2003,ATP,ATP,05/11/2003 00:00
Internationaler Raiffeisen Grand Prix - St. Polten  2003,ATP,ATP,06/11/2003 00:00
French Open - Paris  2003,GS,GrandSlam,07/11/2003 00:00
Gerry Weber Open - Halle  2003,ATP,ATP,08/11/2003 00:00
The Stella Artois Grass Court Championships - London  2003,ATP,ATP,09/11/2003 00:00
Ordina Open - 's-Hertogenbosch  2003,ATP,ATP,10/11/2003 00:00
The Samsung Open - Nottingham  2003,ATP,ATP,11/11/2003 00:00
Wimbledon - London  2003,GS,GrandSlam,12/11/2003 00:00
Allianz Suisse Open Gstaad - Gstaad  2003,ATP,ATP,13/11/2003 00:00
Miller Lite Hall of Fame Tennis Championships - Newport  2003,ITF,Futures,14/11/2003 00:00
Telenordia Swedish Open - Bastad  2003,ATP,ATP,15/11/2003 00:00
2003 Mercedes Cup - Stuttgart  2003,ATP,ATP,16/11/2003 00:00
Energis Open - Amersfoort  2003,ATP,ATP,17/11/2003 00:00
Generali Open 2003 - Kitzbuhel  2003,ATP,ATP,18/11/2003 00:00
International Championship of Croatia - Umag  2003,ATP,ATP,19/11/2003 00:00
RCA Championships - Indianapolis  2003,ATP,ATP,20/11/2003 00:00
Legg Mason Tennis Classic - Washington D.C.  2003,ATP,ATP,21/11/2003 00:00
Mercedes-Benz Cup - Los Angeles  2003,ATP,ATP,22/11/2003 00:00
Idea Prokom Open - Sopot  2003,ATP,ATP,23/11/2003 00:00
Binghamton Professional Tennis Tournament - Binghamton  2003,ATP,ATP,24/11/2003 00:00
San Marino Cepu Open - San Marino  2003,ATP,ATP,25/11/2003 00:00
Tennis Masters Series - Montreal  2003,ATP,ATP,26/11/2003 00:00
CA Challenge - Graz  2003,ATP,ATP,27/11/2003 00:00
GHI Bronx Classic - Bronx  2003,ATP,ATP,28/11/2003 00:00
Tennis Masters Series - Cincinnati  2003,ATP,ATP,29/11/2003 00:00
Geneva Challenger - Geneva  2003,ATP,challenger,30/11/2003 00:00
TD Waterhouse Cup - Long Island  2003,ATP,ATP,01/12/2003 00:00
XXX Edizione 'A Savoldi Marco' - Manerbio  2003,ATP,ATP,02/12/2003 00:00
Asics Challenger Open - Monchengladbach  2003,ATP,challenger,03/12/2003 00:00
3Â° Trofeo 'Citta di Brindisi' - Brindisi  2003,ATP,ATP,04/12/2003 00:00
Black Forest Open - Freudenstadt  2003,ITF,Futures,05/12/2003 00:00
U.S. Open - New York  2003,GS,GrandSlam,06/12/2003 00:00
Alexander Kolyaskin Memorial - Donetsk  2003,ATP,ATP,07/12/2003 00:00
Brasil Open - Salvador  2003,ATP,ATP,08/12/2003 00:00
Bulgarian Open - Sofia  2003,ATP,ATP,09/12/2003 00:00
Fujitsu Siemens Open - Budapest  2003,ATP,ATP,10/12/2003 00:00
Gelsor Open Romania - Bucharest  2003,ATP,ATP,11/12/2003 00:00
Banja Luka Challenger 2003 - Banja Luka  2003,ATP,challenger,12/12/2003 00:00
Grand Prix de Tennis - St. Jean de Luz  2003,ATP,ATP,13/12/2003 00:00
Pekao Open 2003 - Szczecin  2003,ATP,ATP,14/12/2003 00:00
Project Independence Men's Challenger - Mandeville  2003,ATP,challenger,15/12/2003 00:00
"Davis Cup, World Group, QR, AUT-BEL 3-2  2003",ITF,Davis,16/12/2003 00:00
"Davis Cup, World Group, QR, BLR-GER 3-2  2003",ITF,Davis,17/12/2003 00:00
"Davis Cup, World Group, QR, CAN-BRA 3-2  2003",ITF,Davis,18/12/2003 00:00
"Davis Cup, World Group, QR, CZE-THA 4-1  2003",ITF,Davis,19/12/2003 00:00
"Davis Cup, World Group, QR, MAR-GBR 3-2  2003",ITF,Davis,20/12/2003 00:00
"Davis Cup, World Group, QR, NED-IND 5-0  2003",ITF,Davis,21/12/2003 00:00
"Davis Cup, World Group, QR, ROU-ECU 3-2  2003",ITF,Davis,22/12/2003 00:00
"Davis Cup, World Group, QR, USA-SVK 3-2  2003",ITF,Davis,23/12/2003 00:00
"Davis Cup, World Group, SF, AUS-SUI 3-2  2003",ITF,Davis,24/12/2003 00:00
"Davis Cup, World Group, SF, ESP-ARG 3-2  2003",ITF,Davis,25/12/2003 00:00
Campionati Internazionali di Sicilia - Palermo  2003,ATP,ATP,26/12/2003 00:00
Heineken Open Shanghai - Shanghai  2003,ATP,ATP,27/12/2003 00:00
Open de L'Isere - Grenoble  2003,ATP,ATP,28/12/2003 00:00
Thailand Open - Bangkok  2003,ATP,ATP,29/12/2003 00:00
USTA Challenger of San Antonio - San Antonio  2003,ATP,challenger,30/12/2003 00:00
AIG Japan Open - Tokyo  2003,ATP,ATP,31/12/2003 00:00
Challenger Groningen - Groningen  2003,ATP,challenger,01/01/2004 00:00
Copa Sevilla Internacionales de Andalucia - Seville  2003,ATP,ATP,02/01/2004 00:00
Kremlin Cup - Moscow  2003,ATP,ATP,03/01/2004 00:00
Open de Moselle - Metz  2003,ATP,ATP,04/01/2004 00:00
Regional Hand Center Men's Challenger - Fresno  2003,ATP,challenger,05/01/2004 00:00
CA Tennis Trophy - Vienna  2003,ATP,ATP,06/01/2004 00:00
Grand Prix de Tennis de Lyon - Lyon  2003,ATP,ATP,07/01/2004 00:00
IX Trofeo Ciudad de Quito - Quito  2003,ATP,ATP,08/01/2004 00:00
X Ciutat de Barcelona - Barcelona  2003,ATP,ATP,09/01/2004 00:00
Tennis Masters Series - Madrid  2003,ATP,ATP,10/01/2004 00:00
USTA Challenger of Tiburon - Tiburon  2003,ATP,challenger,11/01/2004 00:00
St. Petersburg Open - St. Petersburg  2003,ATP,ATP,12/01/2004 00:00
Stockholm Open - Stockholm  2003,ATP,ATP,13/01/2004 00:00
The USTA Challenger at West End Racquet - Torrance  2003,ATP,challenger,14/01/2004 00:00
Davidoff Swiss Indoors - Basel  2003,ATP,ATP,15/01/2004 00:00
Lambertz Open - Aachen  2003,ATP,ATP,16/01/2004 00:00
Tennis Masters Series - Paris  2003,ATP,ATP,17/01/2004 00:00
The Nottingham Challenger - Nottingham  2003,ATP,challenger,18/01/2004 00:00
Waco International Tennis Challenger - Waco  2003,ATP,challenger,19/01/2004 00:00
Okal Cup 2003 - Eckental  2003,ATP,ATP,20/01/2004 00:00
Tatra Banka Open 2003 - Bratislava  2003,ATP,ATP,21/01/2004 00:00
IPP Open - Helsinki  2003,ATP,ATP,22/01/2004 00:00
Privat Bank Cup - Dniepropetrovsk  2003,ATP,ATP,23/01/2004 00:00
Tennis Masters Cup - Houston  2003,ATP,ATP,24/01/2004 00:00
A Glimmer of Hope Challenger - Austin  2003,ATP,challenger,25/01/2004 00:00
Britania Zavaleta - Puebla  2003,ATP,ATP,26/01/2004 00:00
Czech Indoor Open - Prague  2003,ATP,ATP,27/01/2004 00:00
"The Wright Financial Group, Inc. Challenger - Champaign  2003",ATP,challenger,28/01/2004 00:00
Jameson Cup - Milan  2003,ATP,ATP,29/01/2004 00:00
"Davis Cup, World Group, F, AUS-ESP 3-1  2003",ITF,Davis,30/01/2004 00:00
Ischgl International Tennis Challenger 2003 - Ischgl  2003,ATP,challenger,31/01/2004 00:00
ATP Challenger 2003 Numea - New Caledonia  2003,ATP,challenger,01/02/2004 00:00
ATP Challenger 2003 Numea - New Caledonia  2004,ATP,challenger,02/02/2004 00:00
Sao Paulo - Brazil  2004,ATP,ATP,03/02/2004 00:00
Hopman Cup - Perth  2004,ATP,ATP,04/02/2004 00:00
AAPT Championships - Adelaide  2004,ATP,ATP,05/02/2004 00:00
Qatar Open - Doha  2004,ATP,ATP,06/02/2004 00:00
Tata Open - Chennai  2004,ATP,ATP,07/02/2004 00:00
Adidas International - Sydney  2004,ATP,ATP,08/02/2004 00:00
Heineken Open - Auckland  2004,ATP,ATP,09/02/2004 00:00
Australian Open - Melbourne  2004,GS,Grand Slam,10/02/2004 00:00
Intersport Heilbronn Open - Heilbronn  2004,ATP,ATP,11/02/2004 00:00
Hilton Waikoloa Village USTA Challenger - Waikoloa  2004,ATP,challenger,12/02/2004 00:00
Gemax Samsung Open 2004 - Belgrade  2004,ATP,ATP,13/02/2004 00:00
KGHM Polish Indoors - Wroclaw  2004,ATP,ATP,14/02/2004 00:00
USTA Men's Challenger of Dallas - Dallas  2004,ATP,challenger,15/02/2004 00:00
Volkswagen Challenger 2004 - Wolfsburg  2004,ATP,challenger,16/02/2004 00:00
"Davis Cup, World Group, 1R, ARG-MAR 5-0  2004",ITF,Davis,17/02/2004 00:00
"Davis Cup, World Group, 1R, BLR-RUS 3-2  2004",ITF,Davis,18/02/2004 00:00
"Davis Cup, World Group, 1R, ESP-CZE 3-2  2004",ITF,Davis,19/02/2004 00:00
"Davis Cup, World Group, 1R, FRA-CRO 4-1  2004",ITF,Davis,20/02/2004 00:00
"Davis Cup, World Group, 1R, NED-CAN 4-1  2004",ITF,Davis,21/02/2004 00:00
"Davis Cup, World Group, 1R, SUI-ROU 3-2  2004",ITF,Davis,22/02/2004 00:00
"Davis Cup, World Group, 1R, SWE-AUS 4-1  2004",ITF,Davis,23/02/2004 00:00
"Davis Cup, World Group, 1R, USA-AUT 5-0  2004",ITF,Davis,24/02/2004 00:00
2004 Freeman Men's Challenger - Joplin  2004,ATP,challenger,25/02/2004 00:00
