tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
Capitala World Tennis Championship ,2009-01-01 ,Nikolay Davydenko ,Andy Roddick ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
Capitala World Tennis Championship ,2009-01-01 ,Andy Murray ,James Blake ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
Capitala World Tennis Championship ,2009-01-02 ,Rafael Nadal ,Nikolay Davydenko ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
Capitala World Tennis Championship ,2009-01-02 ,Andy Murray ,Roger Federer ,2 ,1 ,4 ,6 ,7 , , ,6 ,2 ,6 , ,
Brisbane - Brisbane ,2009-01-03 ,Teimuraz Gabashvili ,Ilija Bozoljac ,2 ,1 ,4 ,6 ,6 , , ,6 ,3 ,4 , ,
Brisbane - Brisbane ,2009-01-03 ,Samuel Groth ,Frank Dancevic ,2 ,0 ,6 ,7 , , , ,3 ,6 , , ,
Capitala World Tennis Championship ,2009-01-03 ,Andy Murray ,Rafael Nadal ,2 ,1 ,6 ,5 ,6 , , ,4 ,7 ,3 , ,
Chennai Open - Chennai ,2009-01-03 ,Oliver Marach ,Ashutosh Singh ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
Chennai Open - Chennai ,2009-01-03 ,Danai Udomchoke ,N. Vijay Sundar Prashanth ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
Chennai Open - Chennai ,2009-01-03 ,Michael Berrer ,Rohan Gide ,2 ,0 ,6 ,6 , , , ,1 ,2 , , ,
Chennai Open - Chennai ,2009-01-03 ,Rohan Bopanna ,Michel Koning ,2 ,1 ,6 ,7 ,7 , , ,7 ,6 ,6 , ,
Chennai Open - Chennai ,2009-01-03 ,Rajeev Ram ,Tatsuma Ito ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
Chennai Open - Chennai ,2009-01-03 ,Alexander Kudryavtsev ,Sunil-Kumar Sipaeya ,2 ,0 ,6 ,7 , , , ,4 ,5 , , ,
Chennai Open - Chennai ,2009-01-03 ,Kyu-Tae Im ,Naveen Saai ,2 ,0 ,6 ,6 , , , ,0 ,0 , , ,
Chennai Open - Chennai ,2009-01-03 ,Flavio Cipolla ,Navdeep Singh ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
Chennai Open - Chennai ,2009-01-03 ,Alexander Satschko ,Lovro Zovko ,2 ,0 ,6 ,7 , , , ,2 ,5 , , ,
Chennai Open - Chennai ,2009-01-03 ,Ranjeet Virali-Murugesan ,Vikram Reddy B ,2 ,0 ,7 ,6 , , , ,6 ,2 , , ,
Chennai Open - Chennai ,2009-01-03 ,Louk Sorensen ,Vinod Sridhar ,2 ,0 ,6 ,6 , , , ,0 ,4 , , ,
Chennai Open - Chennai ,2009-01-03 ,Yuichi Sugita ,Pavol Cervenak ,2 ,0 ,6 ,6 , , , ,1 ,2 , , ,
Chennai Open - Chennai ,2009-01-03 ,Sanam Singh ,Yuki Bhambri ,2 ,1 ,4 ,6 ,6 , , ,6 ,4 ,1 , ,
Chennai Open - Chennai ,2009-01-03 ,N.Sriram Balaji ,Ronak Manuja ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
