AAPT Championships - Adelaide ,01.01.03 ,Franco Squillari ,Wayne Ferreira ,2 ,0 ,7 ,6 , , , ,6 ,2 , , ,
AAPT Championships - Adelaide ,01.01.03 ,Richard Krajicek ,Scott Draper ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
AAPT Championships - Adelaide ,01.01.03 ,Mariano Zabaleta ,Martin Verkerk ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
AAPT Championships - Adelaide ,01.01.03 ,Antony Dupuis ,Max Mirnyi ,2 ,0 ,7 ,6 , , , ,6 ,3 , , ,
AAPT Championships - Adelaide ,01.01.03 ,Adrian Voinea ,Alex Kim ,2 ,0 ,6 ,6 , , , ,4 ,1 , , ,
AAPT Championships - Adelaide ,01.01.03 ,Nikolay Davydenko ,Ivan Ljubicic ,2 ,1 ,4 ,6 ,7 , , ,6 ,4 ,6 , ,
AAPT Championships - Adelaide ,01.01.03 ,Richard Gasquet ,Arnaud Di Pasquale ,2 ,1 ,3 ,6 ,6 , , ,6 ,3 ,4 , ,
Qatar Exxon Mobil Open 2003 - Doha ,01.01.03 ,Jan-Michael Gambill ,David Ferrer ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
Qatar Exxon Mobil Open 2003 - Doha ,01.01.03 ,Jan-Michael Gambill ,Roger Federer ,2 ,0 ,6 ,7 , , , ,4 ,5 , , ,
Qatar Exxon Mobil Open 2003 - Doha ,01.01.03 ,Roger Federer ,Michel Kratochvil ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
Qatar Exxon Mobil Open 2003 - Doha ,01.01.03 ,Fernando Vicente ,Markus Hantschk ,2 ,0 ,7 ,7 , , , ,5 ,6 , , ,
Qatar Exxon Mobil Open 2003 - Doha ,01.01.03 ,Fabrice Santoro ,Christophe Rochus ,2 ,1 ,7 ,6 ,7 , , ,5 ,7 ,5 , ,
Qatar Exxon Mobil Open 2003 - Doha ,01.01.03 ,Andreas Vinciguerra ,Albert Costa ,2 ,1 ,3 ,7 ,7 , , ,6 ,6 ,5 , ,
Qatar Exxon Mobil Open 2003 - Doha ,01.01.03 ,Younes El Aynaoui ,Hicham Arazi ,2 ,0 ,6 ,7 , , , ,4 ,6 , , ,
Qatar Exxon Mobil Open 2003 - Doha ,01.01.03 ,Mikhail Youzhny ,Radek Stepanek ,2 ,0 ,6 ,6 , , , ,3 ,1 , , ,
Qatar Exxon Mobil Open 2003 - Doha ,01.01.03 ,Stefan Koubek ,Vladimir Voltchkov ,2 ,0 ,6 ,6 , , , ,1 ,1 , , ,
Tata Open 2003 - Chennai ,01.01.03 ,Sargis Sargsian ,Albert Montanes ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
Tata Open 2003 - Chennai ,01.01.03 ,Tomas Behrend ,Albert Portas ,2 ,0 ,7 ,6 , , , ,6 ,1 , , ,
Tata Open 2003 - Chennai ,01.01.03 ,Paradorn Srichaphan ,John van Lottum ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
Tata Open 2003 - Chennai ,01.01.03 ,Juan Ignacio Chela ,Zeljko Krajan ,1 ,0 ,3 ,6 ,2 , , ,6 ,3 ,0 , ,
AAPT Championships - Adelaide ,02.01.03 ,Richard Krajicek ,Franco Squillari ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
AAPT Championships - Adelaide ,02.01.03 ,Alberto Martin ,Richard Gasquet ,2 ,0 ,7 ,6 , , , ,5 ,1 , , ,
AAPT Championships - Adelaide ,02.01.03 ,Brian Vahaly ,Vince Spadea ,2 ,0 ,7 ,6 , , , ,6 ,2 , , ,
AAPT Championships - Adelaide ,02.01.03 ,Kristof Vliegen ,Arvind Parmar ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
Qatar Exxon Mobil Open 2003 - Doha ,02.01.03 ,Younes El Aynaoui ,Fabrice Santoro ,2 ,1 ,3 ,6 ,6 , , ,6 ,3 ,3 , ,
Qatar Exxon Mobil Open 2003 - Doha ,02.01.03 ,Mikhail Youzhny ,Fernando Vicente ,2 ,0 ,7 ,6 , , , ,6 ,3 , , ,
Qatar Exxon Mobil Open 2003 - Doha ,02.01.03 ,Stefan Koubek ,Andreas Vinciguerra ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Tata Open 2003 - Chennai ,02.01.03 ,Rainer Schuettler ,Mark Philippoussis ,2 ,0 ,6 ,6 , , , ,2 ,1 , , ,
Tata Open 2003 - Chennai ,02.01.03 ,Guillermo Canas ,Jiri Vanek ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
Tata Open 2003 - Chennai ,02.01.03 ,Karol Kucera ,Cecil Mamiit ,2 ,1 ,7 ,3 ,6 , , ,6 ,6 ,3 , ,
Tata Open 2003 - Chennai ,02.01.03 ,Jean-Rene Lisnard ,Noam Okun ,2 ,1 ,6 ,2 ,6 , , ,0 ,6 ,2 , ,
AAPT Championships - Adelaide ,03.01.03 ,Richard Krajicek ,Brian Vahaly ,2 ,0 ,6 ,6 , , , ,1 ,3 , , ,
AAPT Championships - Adelaide ,03.01.03 ,Adrian Voinea ,Antony Dupuis ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
AAPT Championships - Adelaide ,03.01.03 ,Nikolay Davydenko ,Mariano Zabaleta ,2 ,0 ,7 ,6 , , , ,6 ,1 , , ,
AAPT Championships - Adelaide ,03.01.03 ,Kristof Vliegen ,Alberto Martin ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Qatar Exxon Mobil Open 2003 - Doha ,03.01.03 ,Jan-Michael Gambill ,Mikhail Youzhny ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
Qatar Exxon Mobil Open 2003 - Doha ,03.01.03 ,Stefan Koubek ,Younes El Aynaoui ,2 ,0 ,7 ,7 , , , ,6 ,6 , , ,
Tata Open 2003 - Chennai ,03.01.03 ,Karol Kucera ,Guillermo Canas ,2 ,0 ,6 ,7 , , , ,1 ,5 , , ,
Tata Open 2003 - Chennai ,03.01.03 ,Paradorn Srichaphan ,Sargis Sargsian ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
Tata Open 2003 - Chennai ,03.01.03 ,Juan Ignacio Chela ,Tomas Behrend ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
Tata Open 2003 - Chennai ,03.01.03 ,Jean-Rene Lisnard ,Rainer Schuettler ,2 ,0 ,6 ,7 , , , ,2 ,5 , , ,
AAPT Championships - Adelaide ,04.01.03 ,Nikolay Davydenko ,Adrian Voinea ,2 ,0 ,6 ,6 , , , ,2 ,1 , , ,
AAPT Championships - Adelaide ,04.01.03 ,Kristof Vliegen ,Richard Krajicek ,2 ,1 ,7 ,4 ,6 , , ,6 ,6 ,3 , ,
Qatar Exxon Mobil Open 2003 - Doha ,04.01.03 ,Stefan Koubek ,Jan-Michael Gambill ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
Tata Open 2003 - Chennai ,04.01.03 ,Karol Kucera ,Juan Ignacio Chela ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
Tata Open 2003 - Chennai ,04.01.03 ,Paradorn Srichaphan ,Jean-Rene Lisnard ,2 ,0 ,6 ,6 , , , ,2 ,1 , , ,
AAPT Championships - Adelaide ,05.01.03 ,Nikolay Davydenko ,Kristof Vliegen ,2 ,0 ,6 ,7 , , , ,2 ,6 , , ,
Tata Open 2003 - Chennai ,05.01.03 ,Paradorn Srichaphan ,Karol Kucera ,2 ,0 ,6 ,6 , , , ,3 ,1 , , ,
Adidas International - Sydney ,06.01.03 ,Juan Carlos Ferrero ,Jaymon Crabb ,2 ,1 ,5 ,7 ,6 , , ,7 ,5 ,3 , ,
Adidas International - Sydney ,06.01.03 ,Wayne Ferreira ,Thomas Enqvist ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
Adidas International - Sydney ,06.01.03 ,Jarkko Nieminen ,Peter Luczak ,2 ,1 ,6 ,3 ,7 , , ,0 ,6 ,5 , ,
Heineken Open - Auckland ,06.01.03 ,Dominik Hrbaty ,Simon Rea ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
Heineken Open - Auckland ,06.01.03 ,Fernando Vicente ,Luis Horna ,2 ,1 ,3 ,7 ,6 , , ,6 ,6 ,2 , ,
Heineken Open - Auckland ,06.01.03 ,Felix Mantilla ,Jose Acasuso ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
Heineken Open - Auckland ,06.01.03 ,Kenneth Carlsen ,Andre Sa ,2 ,1 ,6 ,7 ,6 , , ,7 ,5 ,4 , ,
Heineken Open - Auckland ,06.01.03 ,Vince Spadea ,Antony Dupuis ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Heineken Open - Auckland ,06.01.03 ,David Ferrer ,Alberto Martin ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
Adidas International - Sydney ,07.01.03 ,Marat Safin ,Olivier Rochus ,2 ,0 ,6 ,6 , , , ,1 ,4 , , ,
Adidas International - Sydney ,07.01.03 ,Franco Squillari ,Roger Federer ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
Adidas International - Sydney ,07.01.03 ,Carlos Moya ,James Blake ,2 ,1 ,6 ,6 ,6 , , ,3 ,7 ,3 , ,
Adidas International - Sydney ,07.01.03 ,Gaston Gaudio ,Todd Reid ,2 ,1 ,6 ,6 ,7 , , ,7 ,2 ,5 , ,
Adidas International - Sydney ,07.01.03 ,Max Mirnyi ,Xavier Malisse ,2 ,1 ,7 ,6 ,6 , , ,6 ,7 ,3 , ,
Adidas International - Sydney ,07.01.03 ,Rainer Schuettler ,Ivan Ljubicic ,2 ,0 ,6 ,7 , , , ,2 ,6 , , ,
Adidas International - Sydney ,07.01.03 ,Mikhail Youzhny ,Adrian Voinea ,1 ,0 ,3 ,6 , , , ,6 ,2 , , ,
Adidas International - Sydney ,07.01.03 ,Hyung-Taik Lee ,Nicolas Lapentti ,2 ,0 ,6 ,6 , , , ,2 ,0 , , ,
Adidas International - Sydney ,07.01.03 ,Andy Roddick ,Tommy Robredo ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
Adidas International - Sydney ,07.01.03 ,Paradorn Srichaphan ,Scott Draper ,2 ,1 ,6 ,3 ,6 , , ,4 ,6 ,1 , ,
Adidas International - Sydney ,07.01.03 ,Juan Ignacio Chela ,Albert Costa ,2 ,0 ,7 ,6 , , , ,6 ,1 , , ,
Adidas International - Sydney ,07.01.03 ,Mardy Fish ,Richard Krajicek ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
Adidas International - Sydney ,07.01.03 ,Nikolay Davydenko ,Raphael Durek ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Heineken Open - Auckland ,07.01.03 ,Gustavo Kuerten ,Martin Verkerk ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
Heineken Open - Auckland ,07.01.03 ,Jan-Michael Gambill ,Michel Kratochvil ,2 ,0 ,6 ,6 , , , ,1 ,3 , , ,
Heineken Open - Auckland ,07.01.03 ,Guillermo Coria ,David Sanchez-Munoz ,2 ,1 ,2 ,6 ,6 , , ,6 ,2 ,4 , ,
Heineken Open - Auckland ,07.01.03 ,Jiri Novak ,Robert Kendrick ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
Heineken Open - Auckland ,07.01.03 ,Mariano Zabaleta ,David Nalbandian ,2 ,1 ,2 ,7 ,6 , , ,6 ,6 ,3 , ,
Heineken Open - Auckland ,07.01.03 ,Stefan Koubek ,Mark Nielsen ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
Heineken Open - Auckland ,07.01.03 ,Raemon Sluiter ,Davide Sanguinetti ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
Heineken Open - Auckland ,07.01.03 ,Michael Russell ,Radek Stepanek ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
Heineken Open - Auckland ,07.01.03 ,Fernando Gonzalez ,Feliciano Lopez ,2 ,1 ,3 ,7 ,6 , , ,6 ,6 ,2 , ,
Heineken Open - Auckland ,07.01.03 ,Robby Ginepri ,Agustin Calleri ,2 ,0 ,7 ,7 , , , ,6 ,5 , , ,
Adidas International - Sydney ,08.01.03 ,Marat Safin ,Jarkko Nieminen ,2 ,1 ,3 ,6 ,6 , , ,6 ,1 ,2 , ,
Adidas International - Sydney ,08.01.03 ,Juan Carlos Ferrero ,Mikhail Youzhny ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
Adidas International - Sydney ,08.01.03 ,Franco Squillari ,Nikolay Davydenko ,2 ,0 ,6 ,6 , , , ,1 ,4 , , ,
Adidas International - Sydney ,08.01.03 ,Wayne Ferreira ,Juan Ignacio Chela ,2 ,1 ,6 ,6 ,6 , , ,7 ,4 ,4 , ,
Adidas International - Sydney ,08.01.03 ,Rainer Schuettler ,Gaston Gaudio ,2 ,0 ,7 ,6 , , , ,6 ,0 , , ,
Adidas International - Sydney ,08.01.03 ,Hyung-Taik Lee ,Andy Roddick ,2 ,0 ,7 ,7 , , , ,6 ,5 , , ,
Adidas International - Sydney ,08.01.03 ,Paradorn Srichaphan ,Max Mirnyi ,2 ,1 ,3 ,6 ,6 , , ,6 ,4 ,4 , ,
Adidas International - Sydney ,08.01.03 ,Mardy Fish ,Carlos Moya ,2 ,1 ,7 ,4 ,6 , , ,6 ,6 ,4 , ,
Adidas International - Sydney ,09.01.03 ,Juan Carlos Ferrero ,Paradorn Srichaphan ,2 ,0 ,6 ,6 , , , ,3 ,1 , , ,
Adidas International - Sydney ,09.01.03 ,Wayne Ferreira ,Franco Squillari ,2 ,0 ,6 ,6 , , , ,0 ,4 , , ,
Adidas International - Sydney ,09.01.03 ,Rainer Schuettler ,Mardy Fish ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
Adidas International - Sydney ,09.01.03 ,Hyung-Taik Lee ,Marat Safin ,1 ,0 ,w , , , , , , , , ,
Heineken Open - Auckland ,09.01.03 ,Gustavo Kuerten ,Michael Russell ,2 ,1 ,4 ,6 ,6 , , ,6 ,4 ,2 , ,
Heineken Open - Auckland ,09.01.03 ,Dominik Hrbaty ,Jan-Michael Gambill ,2 ,1 ,6 ,6 ,7 , , ,3 ,7 ,6 , ,
Heineken Open - Auckland ,09.01.03 ,Guillermo Coria ,Fernando Vicente ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
Heineken Open - Auckland ,09.01.03 ,Jiri Novak ,Robby Ginepri ,2 ,1 ,1 ,7 ,6 , , ,6 ,6 ,3 , ,
Heineken Open - Auckland ,09.01.03 ,Mariano Zabaleta ,Vince Spadea ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
Heineken Open - Auckland ,09.01.03 ,Felix Mantilla ,Kenneth Carlsen ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
Heineken Open - Auckland ,09.01.03 ,Stefan Koubek ,Raemon Sluiter ,2 ,1 ,6 ,3 ,6 , , ,3 ,6 ,1 , ,
Heineken Open - Auckland ,09.01.03 ,David Ferrer ,Fernando Gonzalez ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
Adidas International - Sydney ,10.01.03 ,Juan Carlos Ferrero ,Rainer Schuettler ,2 ,1 ,3 ,6 ,6 , , ,6 ,3 ,2 , ,
Adidas International - Sydney ,10.01.03 ,Hyung-Taik Lee ,Wayne Ferreira ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
Adidas International - Sydney ,11.01.03 ,Hyung-Taik Lee ,Juan Carlos Ferrero ,2 ,1 ,4 ,7 ,7 , , ,6 ,6 ,6 , ,
Heineken Open - Auckland ,11.01.03 ,Gustavo Kuerten ,Mariano Zabaleta ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
Heineken Open - Auckland ,11.01.03 ,Gustavo Kuerten ,Guillermo Coria ,2 ,1 ,7 ,4 ,6 , , ,5 ,6 ,2 , ,
Heineken Open - Auckland ,11.01.03 ,Dominik Hrbaty ,Felix Mantilla ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
Heineken Open - Auckland ,11.01.03 ,Dominik Hrbaty ,David Ferrer ,2 ,0 ,7 ,6 , , , ,5 ,3 , , ,
Heineken Open - Auckland ,11.01.03 ,Mariano Zabaleta ,Stefan Koubek ,2 ,0 ,6 ,6 , , , ,2 ,1 , , ,
Heineken Open - Auckland ,11.01.03 ,Felix Mantilla ,Jiri Novak ,2 ,1 ,6 ,6 ,7 , , ,7 ,2 ,6 , ,
Australian Open - Melbourne ,12.01.03 ,Mark Philippoussis ,Martin Verkerk ,3 ,1 ,6 ,6 ,6 ,6 , ,4 ,4 ,7 ,3 ,
Australian Open - Melbourne ,12.01.03 ,Wayne Arthurs ,Marcos Daniel ,3 ,2 ,6 ,3 ,7 ,6 ,6 ,7 ,6 ,6 ,4 ,4
Heineken Open - Auckland ,12.01.03 ,Gustavo Kuerten ,Dominik Hrbaty ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
Australian Open - Melbourne ,13.01.03 ,Andre Agassi ,Brian Vahaly ,3 ,0 ,7 ,6 ,6 , , ,5 ,3 ,3 , ,
Australian Open - Melbourne ,13.01.03 ,Yevgeny Kafelnikov ,Jeff Morrison ,3 ,1 ,7 ,6 ,4 ,6 , ,6 ,3 ,6 ,3 ,
Australian Open - Melbourne ,13.01.03 ,Juan Carlos Ferrero ,Franco Squillari ,3 ,1 ,7 ,3 ,6 ,6 , ,6 ,6 ,2 ,3 ,
Australian Open - Melbourne ,13.01.03 ,Sebastien Grosjean ,Fernando Meligeni ,3 ,0 ,6 ,6 ,6 , , ,4 ,2 ,3 , ,
Australian Open - Melbourne ,13.01.03 ,Jan-Michael Gambill ,Michael Llodra ,3 ,2 ,6 ,7 ,6 ,4 ,6 ,2 ,5 ,7 ,6 ,2
